"City served","Province","ICAO","IATA","Airport name","RWY (m)"
"Ambriz","Bengo","FNAM","AZZ","Ambriz Airport","16\/34: 2420 x 39, Dirt"
"Andulo","BiÃ©","","ANL","Andulo Airport","01\/19: 3048 x 50, Dirt"
"Benguela","Benguela","FNBG","BUG","Benguela Airport","14\/32: 1600 x 30, Asphalt"
"Cabinda","Cabinda","FNCA","CAB","Cabinda Airport","01\/19: 2518 x 32, Asphalt"
"Cacolo","Lunda Sul","FNCC","","Cacolo Airport","11\/29: 2042 x 59, Dirt"
"Cafunfo","Lunda Norte","FNCF","CFF","Cafunfo Airport","06\/24: 2612 x 42, Asphalt"
"Camabatela","Cuanza Norte","FNCM","CBT","Camabatela Airport","17\/35: 1411 x 39, Grass"
"Camaxilo","Lunda Norte","FNCX","CXM","Camaxilo Airport","11\/29: 1996 x 30, Gravel"
"Camembe","Bengo","FNCB","","Camembe Airport","03\/21: 1536 x 69, Grass"
"Cangamba","Moxico","","CNZ","Cangamba Airport","16\/34: 2158 x 37, Dirt"
"Catoca","Lunda Sul","","","Catoca Airport",""
"Catumbela","Benguela","FNCT","CBT","Catumbela Airport","02\/20: 3716 x 47, Asphalt"
"Cazombo","Moxico","FNCZ","CAV","Cazombo Airport","17\/35: 1975 x 40, Dirt"
"Dundo","Lunda Norte","FNCH","PGI","Chitato Airport","13\/31: 1792 x 35, Asphalt"
"Cuito Cuanavale","Cuando Cubango","FNCV","CTI","Cuito Cuanavale Airport","12\/30: 2731 x 27, Asphalt"
"Damba","UÃ­ge","FNDB","DBA","Damba Airport","14\/32: 1237 x 37, Grass"
"Dirico","Cuando Cubango","","DRC","Dirico Airport","11\/29: 1433 x 33, Gravel"
"Dundo","Lunda Norte","FNDU","DUE","Dundo Airport","05\/23: 1954 x 27, Asphalt"
"Huambo","Huambo","FNNL","","Huambo Airport","04\/22: 457 x 13, Dirt"
"Huambo","Huambo","FNHU","NOV","Albano Machado Airport","11\/29: 2722 x 45, Asphalt"
"Kapanda Dam (Capanda Dam)","Malanje","FNCP","KNP","Kapanda Airport","15\/33: 2006 x 46, Asphalt H1: 20 dia., Grass H2: 20 dia., Grass"
"Kuito","BiÃ©","FNKU","SVP","Kuito Airport","07\/25: 2493 x 30, Asphalt"
"Lobito","Benguela","FNLB","LLT[1]","Lobito Airport","16\/34: 1521 x 30, Asphalt"
"Luanda","Luanda","FNLU","LAD","Quatro de Fevereiro Airport","05\/23: 3712 x 43, Asphalt 07\/25: 2490 x 51, Asphalt"
"Luanda","Bengo","","","Angola International Airport (project)","4200 Ã\u0097 60"
"Luau","Moxico","FNUA","UAL","Luau Airport","17\/35: 1558 x 39, Dirt"
"Lubango","HuÃ­la","FNUB","SDD","Lubango Airport","10\/28: 2859 x 29, Asphalt"
"Lucapa (Lukapa)","Lunda Norte","FNLK","LBZ","Lucapa Airport","18\/36: 2414 x 48, Dirt"
"Luena","Moxico","FNUE","LUO","Luena Airport","11\/29: 2393 x 30, Asphalt"
"Lumbala (Lumbala N'guimbo)","Moxico","","GGC","Lumbala Airport","10\/28: 1966 x 35, Dirt"
"Luzamba (Cuango-Luzamba)","Lunda Norte","FNLZ","","Cuango-Luzamba Airport","03\/21: 1588 x 61, Dirt"
"Malanje (Malange)","Malanje","FNMA","MEG","Malanje Airport","13\/31: 2204 x 32, Asphalt"
"Maquela do Zombo","","FNMQ","","Maquela Airport","07\/25: 1469 x 39, Grass"
"M'banza-Kongo (Mbanza Congo)","Zaire","FNBC","SSY","Mbanza Congo Airport","17\/35: 1832 x 30, Asphalt"
"Menongue","Cuando Cubango","FNME","SPP","Menongue Airport","13\/31: 3560 x 40, Asphalt"
"Nzagi (Andrada)","Lunda Norte","FNZG","NZA","Nzagi Airport","08\/26: 2207 x 53, Dirt"
"N'zeto","Zaire","FNZE","ARZ","N'zeto Airport","04\/22: 2192 x 27, Grass"
"Namibe","Namibe","FNMO","MSZ","Namibe Airport","08\/26: 2496 x 45, Asphalt"
"Negage","UÃ­ge","FNNG","GXG","Negage Airport","16\/34: 2460 x 33, Asphalt 09\/27: 814 x 27, Dirt"
"Ondjiva (Ongiva, Ngiva, N'giva)","Cunene","FNGI","VPE \/ NGV","Ondjiva Pereira Airport","12\/30: 3295 x 35, Asphalt"
"Porto Amboim","Cuanza Sul","FNPA","PBN","Porto Amboim Airport","06\/24: 991 x 30, Asphalt"
"Sanza Pomba","UÃ­ge","FNPB","SPZ","Sanza Pombo Airport","08\/26: 1146 x 36, Grass"
"Saurimo","Lunda Sul","FNSA","VHC","Henrique de Carvalho Airport","14\/32: 3402 x 45, Asphalt"
"Soyo","Zaire","FNSO","SZA","Soyo Airport","07\/25: 2121 x 50, Asphalt"
"Sumbe","Cuanza Sul","FNSU","NDD","Sumbe Airport","05\/23: 951 x 22, Asphalt"
"Toto","UÃ­ge","FNTO","TTO","Xamindele Airport","11\/29: 1548 x 36, Grass"
"UÃ­ge","UÃ­ge","FNUG","UGO","UÃ­ge Airport","01\/19: 2006 x 31, Asphalt"
"Waco Kungo (Waku Kungo)","Cuanza Sul","FNWK","CEO","Waco Kungo Airport","07\/25: 1993 x 32, Asphalt"
"Xangongo","Cunene","FNXA","XGN","Xangongo Airport","03\/21: 2265 x 30, Asphalt"

