"Rank","City","State","Population"
"1","New York","New York","8,175,133"
"2","Los Angeles","California","3,792,621"
"3","Chicago","Illinois","2,695,598"
"4","Houston","Texas","2,099,451"
"5","Philadelphia","Pennsylvania","1,526,006"
"6","Phoenix","Arizona","1,445,632"
"7","San Antonio","Texas","1,327,407"
"8","San Diego","California","1,307,402"
"9","Dallas","Texas","1,197,816"
"10","San Jose","California","945,942"
"11","Jacksonville","Florida","821,784"
"12","Indianapolis","Indiana","820,445"
"13","San Francisco","California","805,235"
"14","Austin","Texas","790,390"
"15","Columbus","Ohio","787,033"
"16","Fort Worth","Texas","741,206"
"17","Charlotte","North Carolina","731,424"
"18","Detroit","Michigan","713,777"
"19","El Paso","Texas","649,121"
"20","Memphis","Tennessee","646,889"
"21","Baltimore","Maryland","620,961"
"22","Boston","Massachusetts","617,594"
"23","Seattle","Washington","608,660"
"24","Washington","District of Columbia","601,723"
"25","Nashville","Tennessee","601,222"

