"Common name","Binomial","Status"
"(European) robin","Erithacus rubecula",""
"Thrush nightingale","Luscinia luscinia","BR"
"(Common) nightingale","Luscinia megarhynchos","WR"
"Bluethroat","Luscinia svecica","WR"
"White-throated robin","Irania gutturalis","BR"
"Black redstart","Phoenicurus ochruros",""
"(Common) redstart","Phoenicurus phoenicurus",""
"Moussier's redstart","Phoenicurus moussieri","BR"
"Whinchat","Saxicola rubetra",""
"(European) stonechat","Saxicola torquata",""
"Isabelline wheatear","Oenanthe isabellina","BR"
"(Northern) wheatear","Oenanthe oenanthe",""
"Pied wheatear","Oenanthe pleschanka","BR"
"Black-eared wheatear","Oenanthe hispanica","BR"
"Desert wheatear","Oenanthe deserti","BR"
"(Rufous-tailed) rock thrush","Monticola saxatilis","BR"
"Blue rock thrush","Monticola solitarius","BR"
"Swainson's thrush","Catharus ustulatus","BR"
"Grey-cheeked thrush","Catharus minimus","BR"
"Ring ouzel","Turdus torquatus",""
"Common blackbird","Turdus merula",""
"Eyebrowed thrush","Turdus obscurus","BR"
"Dusky thrush","Turdus naumanni","BR"
"Red-throated thrush (dark-throated thrush)","Turdus ruficollis","BR[41]"
"Fieldfare","Turdus pilaris",""
"Song thrush","Turdus philomelos",""
"Redwing","Turdus iliacus",""
"Mistle thrush","Turdus viscivorus",""
"American robin","Turdus viscivorus","BR"

