"PTY code","RDS program type (EU)","RBDS program type (North America)"
"0","No programme type or undefined","No program type or undefined"
"1","News","News"
"2","Current affairs","Information"
"3","Information","Sports"
"4","Sport","Talk"
"5","Education","Rock"
"6","Drama","Classic rock"
"7","Culture","Adult hits"
"8","Science","Soft rock"
"9","Varied","Top 40"
"10","Pop music","Country"
"11","Rock music","Oldies"
"12","Easy listening","Soft"
"13","Light classical","Nostalgia"
"14","Serious classical","Jazz"
"15","Other music","Classical"
"16","Weather","Rhythm and blues"
"17","Finance","Soft rhythm and blues"
"18","Childrenâ\u0080\u0099s programmes","Language"
"19","Social affairs","Religious music"
"20","Religion","Religious talk"
"21","Phone-in","Personality"
"22","Travel","Public"
"23","Leisure","College"
"24","Jazz music","Spanish Talk"
"25","Country music","Spanish Music"
"26","National music","Hip Hop"
"27","Oldies music","Unassigned"
"28","Folk music","Unassigned"
"29","Documentary","Weather"
"30","Alarm test","Emergency test"
"31","Alarm","Emergency"

