"Pos","Team","Pld","W","D","L","GF","GA","GD","Pts"
"1","THW Kiel","34","30","1","3","1122","889","+223","61:7"
"2","SG Flensburg-Handewitt","34","25","4","5","1033","862","+171","54:14"
"3","Rhein-Neckar LÃ¶wen","34","25","4","5","965","850","+115","54:14"
"4","FÃ¼chse Berlin","34","24","3","7","976","892","+84","51:17"
"5","HSV Hamburg","34","22","5","7","1035","944","+91","49:19"
"6","TSV Hannover-Burgdorf","34","21","4","9","1021","1002","+19","46:22"
"7","HSG Wetzlar","34","17","3","14","996","975","+21","37:31"
"8","SC Magdeburg","34","16","4","14","955","918","+37","36:32"
"9","TBV Lemgo","34","15","4","15","921","927","â\u0088\u00926","34:34"
"10","MT Melsungen","34","15","5","14","945","947","â\u0088\u00922","33:35"
"11","Frisch Auf GÃ¶ppingen","34","15","2","17","950","905","+45","32:36"
"12","TuS Nettelstedt-LÃ¼bbecke","34","13","2","19","961","988","â\u0088\u009227","28:40"
"13","HBW Balingen-Weilstetten","34","11","3","20","956","1019","â\u0088\u009263","25:43"
"14","GWD Minden","34","6","6","22","880","1009","â\u0088\u0092129","18:50"
"15","VfL Gummersbach","34","6","4","24","887","1018","â\u0088\u0092131","16:52"
"16","TV Grosswallstadt","34","6","3","25","848","946","â\u0088\u009298","15:53"
"17","TV 1893 Neuhausen","34","7","1","26","885","1042","â\u0088\u0092157","15:53"
"18","TUSEM Essen","34","3","2","29","870","1063","â\u0088\u0092193","8:60"

