"Image","Mayor[1]","Term Began","Term Ended"
"","Robert Brent","1802","1812"
"","Daniel Rapine","1812","1813"
"","James H. Blake","1813","1817"
"","Benjamin G. Orr","1817","1819"
"","Samuel N. Smallwood","1819","1822"
"","Thomas Carbery","1822","June 1824"
"","Samuel N. Smallwood","June 1824","September 30, 1824"
"","Roger C. Weightman","September 30, 1824","1827"
"","Joseph Gales","1827","1830"
"","John P. Van Ness","1830","1834"
"","William A. Bradley","1834","1836"
"","Peter Force","1836","1840"
"","William Winston Seaton","1840","1850"
"","Walter Lenox","1850","1852"
"","John W. Maury","1852","1854"
"","John T. Towers","1854","1856"
"","William B. Magruder","1856","1858"
"","James G. Berret","1858","August 26, 1861"
"","Richard Wallach","August 26, 1861","1868"
"","Sayles J. Bowen","1868","June 7, 1870"
"","Matthew G. Emery[2]","June 7, 1870","February 28, 1871"

