"Species","Taxonomic status","Range","Conservation status"
"Aiphanes acanthophylla (Mart.) Burret","taxonomic synonym of A. minima[2]","",""
"Aiphanes acaulis Galeano & R.Bernal","accepted name[3]","Western Colombia[1]",""
"Aiphanes aculeata Willd.","syn. of A. horrida[4]","",""
"Aiphanes bicornis CerÃ³n & R.Bernal","accepted name[5]","Ecuador[6]",""
"Aiphanes caryotifolia (Kunth) H.Wendl.","syn. of A. horrida[7]","",""
"Aiphanes chiribogensis Borchs. & Balslev","accepted name[8]","Ecuador[1]",""
"Aiphanes chocoensis A.H.Gentry","syn. of A. macroloba[9]","",""
"Aiphanes concinna H.E.Moore","syn. of A. lindeniana[10]","",""
"Aiphanes corallina (Mart.) H.Wendl.","syn. of A. minima[11]","",""
"Aiphanes deltoidea Burret","accepted name[12]","",""
"Aiphanes disticha (Linden) Burret","syn. of Martinezia disticha, a nomen nudum[note 1][1][13]","",""
"Aiphanes duquei Burret","accepted name[14]","",""
"Aiphanes echinocarpa Dugand","syn. of A. linearis[15]","",""
"Aiphanes eggersii Burret","accepted name[16]","",""
"Aiphanes elegans (Linden & H.Wendl.) H.Wendl.","syn. of A. horrida[17]","",""
"Aiphanes erinacea (H.Karst.) H.Wendl.","accepted name[18]","",""
"Aiphanes ernestii (Burret) Burret","syn. of A. horrida[19]","",""
"Aiphanes erosa (Mart.) Burret","syn. of A. minima[20]","",""
"Aiphanes fosteriorum H.E.Moore","syn. of A. hirsuta subsp. fosteriorum[21]","",""
"Aiphanes fuscopubens L.H.Bailey","syn. of A. hirsuta subsp. hirsuta[22]","",""
"Aiphanes gelatinosa H.E.Moore","accepted name[23]","",""
"Aiphanes gracilis Burret","syn. of A. weberbaueri[24]","",""
"Aiphanes graminifolia Galeano & R.Bernal","accepted name[25]","",""
"Aiphanes grandis Borchs. & Balslev","accepted name[26]","",""
"Aiphanes hirsuta Burret","accepted name[27]","",""
"Aiphanes horrida (Jacq.) Burret","accepted name[28]","Trinidad, Venezuela, Colombia, Peru, Brazil, Bolivia; cultivated throughout the tropics[1]",""
"Aiphanes kalbreyeri Burret","syn. of A. hirsuta subsp. kalbreyeri[29]","",""
"Aiphanes killipii Burret","syn. of A. horrida[30]","",""
"Aiphanes leiospatha Burret","unplaced name[note 2][1][31]","",""
"Aiphanes leiostachys Burret","accepted name[32]","",""
"Aiphanes lindeniana (H.Wendl.) H.Wendl.","accepted name[33]","",""
"Aiphanes linearis Burret","accepted name[34]","",""
"Aiphanes luciana L.H.Bailey","syn. of A. minima[35]","",""
"Aiphanes macroloba Burret","accepted name[36]","",""
"Aiphanes minima (Gaertn.) Burret","accepted name[37]","",""
"Aiphanes monostachys Burret","syn. of A. macroloba[38]","",""
"Aiphanes orinocensis Burret","syn. of A. horrida[39]","",""
"Aiphanes pachyclada Burret","syn. of A. minima[40]","",""
"Aiphanes parvifolia Burret","accepted name[41]","",""
"Aiphanes pilaris R.Bernal","accepted name[42]","",""
"Aiphanes praemorsa (Poepp. ex Mart.) Burret","syn. of A. horrida[43]","",""
"Aiphanes praga Humboldt, Bonpland & Kunth","syn. of Prestoea acuminata var. acuminata.[44]","",""
"Aiphanes schultzeana Burret","syn. of A. ulei[45]","",""
"Aiphanes simplex Burret","accepted name[46]","",""
"Aiphanes spicata Brochs. & R.Bernal","accepted name[47]","",""
"Aiphanes stergiosii S.M.NiÃ±o, Dorr & F.W.Stauffer","accepted name[48]","",""
"Aiphanes tessmannii Burret","syn. of A. weberbaueri[49]","",""
"Aiphanes tricuspidata Borchs., M.RuÃ­z & Bernal","accepted name[50]","",""
"Aiphanes truncata (Brongn. ex Mart.) H.Wendl.","syn. of A. horrida[51]","",""
"Aiphanes ulei (Dammer) Burret","accepted name[52]","",""
"Aiphanes verrucosa Borchs. & Balslev","accepted name[53]","",""
"Aiphanes vincentiana L.H.Bailey","syn. of A. minima[54]","",""
"Aiphanes weberbaueri Burret","accepted name[55]","",""

