"State","City[A]","Building","Image","Height (ft)","Height (m)","Floors","Year[B]","Primary Purpose"
"Alabama","Mobile","RSA Battle House Tower[1]","","745","227","35","2007","Office"
"Alaska","Anchorage","Conoco-Phillips Building[2]","","296","90","22","1983","Office"
"Arizona","Phoenix","Chase Tower[C][3]","","483","147","40","1972","Office"
"Arkansas","Little Rock","Simmons Tower[4]","","546","166","40","1986","Office"
"California","Los Angeles","U.S. Bank Tower[5][6]","","1,018","310","73","1989","Office"
"Colorado","Denver","Republic Plaza[7]","","714","218","56","1984","Office"
"Connecticut","Hartford","City Place I[8]","","535","163","38","1984","Office"
"Delaware","Wilmington","River Tower at Christina Landing [9]","","340","104","27","2007","Residential"
"District of Columbia","Washington, D.C.","Basilica of the National Shrine of the Immaculate Conception","","329","100","1","1959","Church"
"Florida","Miami","Four Seasons Hotel & Tower[10]","","789","240","70","2003","Office\/Residential\/Hotel"
"Georgia","Atlanta","Bank of America Plaza[11]","","1,023","311","55","1992","Office"
"Hawaii","Honolulu","First Hawaiian Center[12]","","429","131","30","1996","Office"
"Idaho","Boise","Zion's Bank Building[13]","","323","98","18","2013","Office"
"Illinois","Chicago","Willis Tower[14]","","1,451","442","108","1974","Office"
"Indiana","Indianapolis","Chase Tower[15]","","830","253","48","1990","Office"
"Iowa","Des Moines","801 Grand (The Principal Building)[16]","","630","192","45","1991","Office"
"Kansas","Wichita","Epic Center[17][18]","","320","98","22","1989","Office"
"Kentucky","Louisville","400 West Market[19][20]","","549","167","35","1993","Office"
"Louisiana","New Orleans","One Shell Square[21][22]","","697","212","51","1972","Office"
"Maine","Portland","Franklin Towers[D][23]","","175","53","16","1969","Residential"
"Maryland","Baltimore","Transamerica Tower[24]","","529","161","40","1971","Office"
"Massachusetts","Boston","200 Clarendon[25]","","790","241","60","1976","Office"
"Michigan","Detroit","Renaissance Center[26]","","755","230","70","1977","Hotel"
"Minnesota","Minneapolis","IDS Center[27]","","792","241","57","1973","Office"
"Mississippi","Biloxi","Beau Rivage Casino Hotel[28]","","347","105.5","32","1999","Hotel"
"Missouri","Kansas City","One Kansas City Place[29]","","624","190.3","42","1988","Office"
"Montana","Billings","First Interstate Center[30]","","272","83","20","1985","Office"
"Nebraska","Omaha","First National Bank Tower[31][32][33]","","634","193","45","2002","Office"
"Nevada","Paradise","The Palazzo[34]","","642","196","50","2008","Hotel & Casino"
"New Hampshire","Manchester","City Hall Plaza[35][36]","","275","84","20","1992","Office"
"New Jersey","Jersey City","30 Hudson Street[37]","","781","238","42","2004","Office"
"New Mexico","Albuquerque","Albuquerque Plaza[38]","","351","107","22","1990","Office"
"New York","New York City","One World Trade Center[39]","","1,776","541","104","2013","Office"
"North Carolina","Charlotte","Bank of America Corporate Center[40]","","871","265","60","1992","Office"
"North Dakota","Bismarck","North Dakota State Capitol [41]","","242","74","19","1934","Government"
"Ohio","Cleveland","Key Tower[42]","","947","271","57","1991","Office"
"Oklahoma","Oklahoma City","Devon Tower","","850","259","50","2012","Office"
"Oregon","Portland","Wells Fargo Center[43]","","546","166","41","1972","Office"
"Pennsylvania","Philadelphia","Comcast Center[44]","","973","296","57","2008","Office"
"Rhode Island","Providence","Bank of America Building[45]","","428","130","26","1927","Office"
"South Carolina","Columbia","Capitol Center[46]","","349","114","25","1987","Office"
"South Dakota","Sioux Falls","CenturyLink Tower[F][47]","","174","53","11","1986","Office"
"Tennessee","Nashville","AT&T Building[48]","","617","188","33","1994","Office"
"Texas","Houston","JPMorgan Chase Tower[49]","","1,002","305","75","1982","Office"
"Utah","Salt Lake City","Wells Fargo Center[50]","","422","129","26","1998","Office"
"Vermont","Burlington","Decker Towers[51]","","124","38","11","1970","Residential"
"Virginia","Virginia Beach","The Westin Virginia Beach Town Center[52][53]","","508","155","38","2007","Residential\/Hotel"
"Washington","Seattle","Columbia Center[54]","","943","284","76","1985","Office"
"West Virginia","Charleston","West Virginia State Capitol[55]","","293","89","4[56]","1932","Government"
"Wisconsin","Milwaukee","U.S. Bank Center[57][58]","","601","183","42","1973","Office"
"Wyoming","Laramie","White Hall[59]","","200","61","12","1960","Residential"

