"Journal","Publisher","Policy type","Policy text","Source"
"Science","AAAS","Compatible","Science will not consider any paper or component of a paper that has been published or is under consideration for publication elsewhere. Distribution on the Internet may be considered prior publication and may compromise the originality of the paper as a submission to Science, although we do allow posting of research papers on not-for-profit preprint servers such as arxiv.org. Please contact the editors with questions regarding allowable postings.","[30]"
"PNAS","","Compatible","Preprints have a long and notable history in science, and it has been PNAS policy that they do not constitute prior publication. This is true whether an author hands copies of a manuscript to a few trusted colleagues or puts it on a publicly accessible web site for everyone to read, as is common now in parts of the physics community","[31]"
"Current Biology","Cell","Compatible in many cases","If you have questions about whether posting a manuscript or data that you plan to submit to this journal on an openly available preprint server or poster repository would affect consideration, we encourage you to contact an editor so that we may provide more specific guidance. In many cases, posting will be possible.","[32]"
"Current Plant Biology","Elsevier","Compatible","All manuscripts submitted are peer-reviewed before being accepted for publication to Current Plant Biology. By submitting a manuscript to CPB authors state that the manuscript has not being submitted elsewhere, and that it contains unpublished data. Current Plant Biology does not accept work that has already been published elsewhere in the peer-reviewed literature. Activities such as publication of a short abstract; presentation of data to a scientific meeting; posting of the manuscript to any of the authorâ\u0080\u0099s personal website, in an online institutional repository or on a freely accessible preprint server such as arXiv or bioRxiv, are not considered prior publication and do not exclude consideration of manuscript by CPB. Publication of a paper in the proceedings of a scientific meeting generally constitutes prior publication"
"Journal of Neuroscience","","Compatible","The Journal of Neuroscience generally does not accept manuscripts that have been previously published. An exception is made for manuscripts that have been posted on the Internet for the purpose of receiving commentary from the community. Such posting is typically done at a pre-publication repository that has been designed for the purpose, but posting on an institutional web site or other Internet location is acceptable","[33]"
"Journal of Theoretical Biology","","Compatible","In general, Elsevier is permissive with respect to authors and electronic preprints. If an electronic preprint of an article is placed on a public server prior to its submission to an Elsevier journal or where a paper was originally authored as a thesis or dissertation, this is not generally viewed by Elsevier as â\u0080\u009Cprior publicationâ\u0080\u009D","[34]"
"Cell","Cell","Compatible in many cases","If you have questions about whether posting a manuscript or data that you plan to submit to this journal on an openly available preprint server or poster repository would affect consideration, we encourage you to contact an editor so that we may provide more specific guidance. In many cases, posting will be possible.","[35]"
"Neuron","Cell","Compatible in many cases","If you have questions about whether posting a manuscript or data that you plan to submit to this journal on an openly available preprint server or poster repository would affect consideration, we encourage you to contact an editor so that we may provide more specific guidance. In many cases, posting will be possible.","[36]"
"Developmental Cell","Cell","Compatible in many cases","If you have questions about whether posting a manuscript or data that you plan to submit to this journal on an openly available preprint server or poster repository would affect consideration, we encourage you to contact an editor so that we may provide more specific guidance. In many cases, posting will be possible.","[37]"
"Molecular Cell","Cell","Compatible in many cases","If you have questions about whether posting a manuscript or data that you plan to submit to this journal on an openly available preprint server or poster repository would affect consideration, we encourage you to contact an editor so that we may provide more specific guidance. In many cases, posting will be possible.","[38]"
"Molecular Biology and Evolution","Oxford Journals","Compatible","Author can archive a pre-print version. Author cannot archive a post-print version","[39]"
"Genes & Development","Cold Spring Harbor Laboratory Press","Compatible","The journal only accepts papers that present original research that has not been published previously. Conference presentations or posting unrefereed manuscripts on preprint servers will not be considered prior publication. Authors are responsible for updating the archived preprint with the journal reference (including DOI), and a link to the published article on the Genes & Development website upon publication.","[40]"
"Genome Research","Cold Spring Harbor Laboratory Press","Compatible","The journal only accepts papers that present original research that has not been published previously. Conference presentations or posting unrefereed manuscripts on preprint servers will not be considered prior publication. Authors are responsible for updating the archived preprint with the journal reference (including DOI), and a link to the published article on the Genome Research website upon publication.","[41]"
