"No.","Name","Range","State","Height (m)","Height (ft)","Remarks"
"1","Mount Kinabalu","Crocker Range","Sabah","4,095.2","13,435.7","Fourth highest peak in Southeast Asia. Highest peak in Malaysia and Borneo. 20th most prominent peak in the world. Unique endemic plants and animals. With nice weather, view includes the TAR Marine Park Islands."
"2","Mount Trusmadi","Trus Madi Range","Sabah","2,642","8,669",""
"3","Mount Tambuyukon","Crocker Range","Sabah","2,579","8,462",""
"4","Mount Murud","Tama Abu Range","Sarawak","2,422","7,946","Highest peak in Sarawak."
"5","Mount Mulu","Tama Abu Range","Sarawak","2,376","7,795","Has unique rock formations called The Pinnacles."
"6","Mount Tahan","Tahan Range","Pahang-Kelantan border","2,187","7,175","Highest peak in Peninsular Malaysia and Pahang. Unique plants and animals."
"7","Mount Korbu","Titiwangsa Mountains","Perak","2,183","7,162","Highest peak in Perak."
"8","Mount Yong Belar","Titiwangsa Mountains","Kelantan-Perak border","2,181","7,156","Highest peak in Kelantan."
"9","Mount Gayong","Titiwangsa Mountains","Perak","2,173","7,129",""
"10","Mount Chamah","Titiwangsa Mountains","Kelantan","2,171","7,123",""
"11","Mount Yong Yap","Titiwangsa Mountains","Kelantan-Perak border","2,168","7,113",""
"12","Mount Ulu Sepat","Titiwangsa Mountains","Kelantan-Perak border","2,161","7,090",""
"13","Mount Batu Putih","Titiwangsa Mountains","Perak","2,131","6,990",""
"14","Mount Tama Abu","Tama Abu Range","Sarawak","2,112","6,930",""
"15","Mount Irau","Titiwangsa Mountains","Pahang-Perak border","2,110","6,923","Easily accessible mossy forest."
"16","Mount Benum","Benom Range","Pahang","2,107","6,914",""
"17","Mount Apad Runan","Tama Abu Range","Sarawak","2,103","6,900",""
"18","Mount Gerah","Titiwangsa Mountains","Kelantan-Perak border","2,103","6,898",""
"19","Batu Hill","Tama Abu Range","Sarawak","2,092","6,862",""
"20","Batu Buli Hill","Tama Abu Range","Sarawak","2,092","6,862",""
"21","Mount Junction","Titiwangsa Mountains","Pahang-Perak border","2,088","6,850",""
"22","Mount Tumang Batak","Titiwangsa Mountains","Pahang-Perak border","1932","6,830",""
"23","Mount Bilah","Titiwangsa Mountains","Kelantan-Perak border","2,081","6,817",""
"24","Mount Berembun","Titiwangsa Mountains","Pahang","2,078","6,817",""
"25","Mount Bieh","Titiwangsa Mountains","Perak","2,073","6,800",""
"26","Mount Belatok","Titiwangsa Mountains","Perak","1883","6,800",""
"27","Mount Gedung","Tahan Range","Pahang","2,065","6,776",""
"28","Batu Lawit Hill","Tama Abu Range","Sarawak","2,046","6,712",""
"29","Mount Berinchang","Titiwangsa Mountains","Pahang-Perak border","2,031","6,663",""
"30","Batu Iran Hill","Iran Mountains","Sarawak","2,018","6,620",""
