"City served","FAA","IATA","ICAO","Airport name","Role","Enpl."
"","","","","Commercial service â\u0080\u0093 primary airports","",""
"Bemidji","BJI","BJI","KBJI","Bemidji Regional Airport","P-N","22,819"
"Brainerd","BRD","BRD","KBRD","Brainerd Lakes Regional Airport","P-N","15,654"
"Duluth","DLH","DLH","KDLH","Duluth International Airport","P-N","155,455"
"Hibbing","HIB","HIB","KHIB","Range Regional Airport (was Chisholmâ\u0080\u0093Hibbing Airport)","P-N","11,669"
"International Falls","INL","INL","KINL","Falls International Airport","P-N","15,796"
"Minneapolis","MSP","MSP","KMSP","Minneapolisâ\u0080\u0093St. Paul International Airport (Woldâ\u0080\u0093Chamberlain Field)","P-L","16,282,038"
"Rochester","RST","RST","KRST","Rochester International Airport","P-N","110,104"
"St. Cloud","STC","STC","KSTC","St. Cloud Regional Airport","P-N","15,842"
"","","","","Reliever airports","",""
"Minneapolis \/ Blaine","ANE","","KANE","Anoka Countyâ\u0080\u0093Blaine Airport (Janes Field)","R","87"
"Minneapolis \/ Crystal","MIC","MIC","KMIC","Crystal Airport","R","6"
"Minneapolis \/ Eden Prairie","FCM","FCM","KFCM","Flying Cloud Airport","R","245"
"Minneapolis \/ Lakeville","LVN","","KLVN","Airlake Airport","R","6"
"South St. Paul","SGS","","KSGS","South St. Paul Municipal Airport (Richard E. Fleming Field)","R","6"
"St. Paul","STP","STP","KSTP","St. Paul Downtown Airport (Holman Field)","R","150"
"St. Paul \/ Lake Elmo","21D","","","Lake Elmo Airport","R",""
"","","","","General aviation airports","",""
"Aitkin","AIT","","KAIT","Aitkin Municipal Airport (Steve Kurtz Field)","GA",""
"Albert Lea","AEL","AEL","KAEL","Albert Lea Municipal Airport","GA","8"
"Alexandria","AXN","AXN","KAXN","Alexandria Municipal Airport (Chandler Field)","GA","156"
"Austin","AUM","AUM","KAUM","Austin Municipal Airport","GA",""
"Baudette","BDE","BDE","KBDE","Baudette International Airport & Seaplane Base","GA","2"
"Benson","BBB","BBB","KBBB","Benson Municipal Airport","GA",""
"Blue Earth","SBU","","KSBU","Blue Earth Municipal Airport","GA","1"
"Buffalo","CFE","","KCFE","Buffalo Municipal Airport","GA",""
"Caledonia","CHU","","KCHU","Houston County Airport (Caledoniaâ\u0080\u0093Houston County Airport)","GA",""
"Cambridge","CBG","","KCBG","Cambridge Municipal Airport","GA",""
