"Elimination","Wrestler","Eliminated by","Times"
"1","Layla","Brie and Nikki","00:07"
"2","Joy Giovanni","Brie and Nikki","00:16"
"3","Rosa Mendes","Brie and Nikki","00:29"
"4","Alicia Fox","Brie and Nikki","00:36"
"5","Sunny","Beth Phoenix","01:31"
"6","Torrie Wilson","Beth Phoenix","01:52"
"7","Jackie Gayda","Brie and Nikki","02:22"
"8","Maria","Victoria","02:38"
"9","Gail Kim","Jillian and Victoria","02:57"
"10","Jillian Hall","Gail Kim","03:01"
"11","Eve Torres","Beth Phoenix","03:19"
"12","Tiffany","Beth Phoenix","03:21"
"13","Kelly Kelly","Beth Phoenix","03:42"
"14","Molly Holly","Beth Phoenix","03:50"
"15","Maryse","Beth Phoenix","03:58"
"16","Katie Lea Burchill","Beth Phoenix","04:04"
"17","Natalya","Beth Phoenix","04:20"
"18","Victoria","Brie and Nikki","04:31"
"19","Brie Bella","Beth Phoenix","04:35"
"20","Nikki Bella","Beth Phoenix","04:41"
"21","Mickie James","Michelle McCool","05:32"
"22","Michelle McCool","Mickie James","05:33"
"23","Melina","Beth Phoenix","07:24"
"24","Beth Phoenix","Santina and Melina","07:25"
"25","Santina Marella","Winner","07:25"

