"No","Peak","Country","Elevation (m)","Prominence (m)","Col (m)"
"1","Mount Everest","Nepal \/ China","8,848","8,848","0"
"2","Dhaulagiri","Nepal","8,167","3,357","4810"
"3","Manaslu","Nepal","8,163","3,092","5071"
"4","Annapurna I","Nepal","8,091","2,984","5107"
"5","Shishapangma","China","8,027","2,897","5130"
"6","Gurla Mandhata","China","7,694","2,788","4906"
"7","Annapurna II","Nepal","7,937","2,437","5500"
"8","Dhaulagiri II","Nepal","7,752","2,397","5355"
"9","Makalu","Nepal \/ China","8,485","2,378","6107"
"10","Yangra","Nepal \/ China","7,422","2,352","5070"
"11","Cho Oyu","Nepal \/ China","8,188","2,340","5848"
"12","Chamar","Nepal","7,165","2,061","5104"
"13","Api","Nepal","7,132","2,040","5092"
"14","Labuche Kang","China","7,367","1,957","5410"
"15","Nemjung","Nepal","7,140","1,920","5220"
"16","Kanjiroba","Nepal","6,883","1,870","5013"
"17","Saipal","Nepal","7,031","1,824","5207"
"18","Kubi Gangri","Nepal \/ China","6,859","1,699","5160"
"19","Deora","Nepal","4,390","1,678","2712"
"20","Changla","Nepal \/ China","6,721","1,657","5064"
"21","Bhalu Lek","Nepal","5,425","1,643","3782"
"22","Himalchuli","Nepal","7,893","1,633","6260"
"23","Pangpoche","Nepal","6,620","1,622","4998"
"24","Gauri Sankar","Nepal \/ China","7,146","1,600","5546"
"25","Jethi Bahurani","Nepal","6,850","1,558","5292"
"26","Melungtse","China","7,181","1,551","5630"
"27","Langtang Lirung","Nepal","7,234","1,534","5700"

