"Title","Director","Cast","Genre","Notes"
"Babruvahana","R. S. Prakash","","",""
"Bala Nagamma","Chittajallu Pullayya","Kanchanamala, Govindrajulu Subba Rao, Relangi Venkata Ramaiah","Drama",""
"Bhakta Potana","Kadri Venkata Reddy","Chittor V. Nagaiah, Mudigonda Lingamurthy, Hemalatha","Biographical",""
"Bhale Pelli","","","",""
"Deena Bandhu","","","",""
"Gharana Donga","H. M. Reddy","","",""
"Honest Rogue","","","",""
"Jeevana Mukthi","T. V. Neelakanthan","P. Suribabu, Bezawada Rajarathnam, Balijepalli Lakshmikantham","",""
"Maayala Marati","","","",""
"Patni","Gudavalli Ramabrahmam","","Drama",""
"Satyabhama","Y. V. Rao","Y. V. Rao, Pushpavalli, Sthanam Narasimha Rao, Srirama Murthy Addanki","Drama",""
"Seeta Rama Jananam","Ghantasala Balaramaiah","Akkineni Nageswara Rao, Vemuri Gaggaiah, Rushyendramani","Drama\/Musical",""
"Shanta Bala Nagamma","","","",""
"Sumathi","Kadaru Nagabhushanam","","",""
"Tarumaru","","","",""

