"Years","Location"
"1927 â\u0080\u0093 1928","Carnegie Library of Homestead, Munhall, Pennsylvania[51]"
"1929","606 W. Cork St, Winchester, Virginia[52][53]"
"1930 â\u0080\u0093 1931","Box 360, Winchester, Virginia (Frank Reed Horton's mailbox)[54]"
"1931 â\u0080\u0093 1933","Ivanhoe Club Building, 3215 Park Avenue, Kansas City, Missouri[55]"
"1934","410-11 Land Bank Building, Kansas City 6, Missouri[56]"
"1935 â\u0080\u0093 1936","505 Land Bank Building, Kansas City 6, Missouri[57]"
"1936 â\u0080\u0093 1938","410 Land Bank Building, Kansas City 6, Missouri[58]"
"1938 â\u0080\u0093 1949","407 Land Bank Building, Kansas City 6, Missouri[59]"
"1949 â\u0080\u0093 1961","419 Columbia Bank Building, Kansas City 6, Missouri (Building imploded[60])[61]"
"1961 â\u0080\u0093 1986","1100 Waltower Building, 823 Walnut Street, Kansas City, Missouri 64106[62][63]"
"1986 â\u0080\u0093 1990","400 Mainmark Building, 1627 Main Street, Kansas City, Missouri 64108[64]"
"1990 â\u0080\u0093 current","14901 E. 42nd St., Independence, Missouri 64055-7347[65][66][67]"

