"Name","Chinese (S)","Grams"
"Bulbus Lilii","ç\u0099¾å\u0090\u0088","100"
"Radix Rehmanniae","ç\u0094\u009Få\u009C°é»\u0084","200"
"Radix Rehmanniae Preparata","ç\u0086\u009Få\u009C°é»\u0084","300"
"Radix Ophiopogonis","éº¦å\u0086¬","150"
"Radix Scrophulariae","ç\u008E\u0084å\u008F\u0082","80"
"Bulbus fritillariae cirrhosae","å·\u009Dè´\u009Dæ¯\u008D","100"
"Radix Angelicae Sinensis","å½\u0093å½\u0092","100"
"Radix Paeoniae Alba","ç\u0099½è\u008A\u008D","100"
"Radix Platycodonis","æ¡\u0094æ¢\u0097","80"
"Radix Glycyrrhizae","ç\u0094\u0098è\u008D\u0089","100"

