"Sourcebook","Kits"
"Age of Heroes Campaign Sourcebook","Companion, Hero, Hoplite"
"Arabian Adventures","Askar, Barber, Beggar-Thief, Cleric of the Faith Pragmatic, Cleric of the Faith Ethical, Cleric of the Faith Moral, Corsair, Desert Rider, Elemental Wizard, Faris, Hakima, Holy Slayer, Kahin, Mamluk, Matrud, Mercenary Barbarian, Merchant-Rogue, Mystic, Rawun, Saâ\u0080\u0099luk, Sorcecer, Sha'ir"
"Chronomancer","Guide, Historian, Seer, Traveler"
"City of Gold","Clown, Fetishist, Trader, Hunter, Azupozi Healer, Bent Priest, Pueblo Priest, Sunwatcher"
"Defilers and Preservers - The Wizard of Athas","Advanced Being, Arena Wizard, Cerulean, Chasseur, Earth Defender, Exterminator, Free Wizard, Illusionist, Mercenary, Restorationist, Shadow Wizard, Tribal Wizard, Necromancer"
"Diablo II: The Awakening","Amazon, Barbarian, Necromancer, Paladin, Sorcerer"
"Elves of Evermeet","Elven Knight, High Mage, Skinwalker, Totem-sister, Unicorn Rider"
"Jakandor - Isle of Destiny","Artificer, Finder, Galvanist, Porter, Render, Sandman, Shadow Mage, Warden, Dilettante, Bandit, Chirurgeon, Companion, Guildsman, Scribe, Cultist, Jurist, Pantheist, Philosopher, Thanhotepic, Guardian"
"Masque of the Red Death","Cavalryman, Charlatan, Dandy, Detective, Explorer\/Scout, Journalist, Labourer, Medium, Metaphysician, Parson, Physician, Qabalist, Sailor, Scholar, Shaman, Spiritualist"
"Player's Option: Skills & Powers","Acrobat, Amazon, Animal Master, Assassin, Barbarian, Beggar, Cavalier, Diplomat, Explorer, Gladiator, Jester, Mariner, Merchant, Mystic, Noble, Outlaw, Peasant Hero, Pirate, Pugilist, Rider, Savage, Scholar, Scout, Sharpshooter, Soldier, Smugger, Spy, Swashbuckler, Thug, Weapon Master"
"The Complete Barbarianâ\u0080\u0099s Handbook","Brushrunner, Brute, Dreamwalker, Flamespeaker, Forest Lord, Islander, Medicine Man, Plainsrider, Ravager, Seer, Spiritist, Witchman, Wizard Slayer"
