"Institution","Location","Years Active"
"Delta State University","Cleveland, MS","September 21, 1977"
"Dillard University","New Orleans, LA","May 8, 2008"
"Louisiana State University","Baton Rouge, LA","May 22, 1932"
"Louisiana State University in Shreveport","Shreveport, LA","March 11, 1994"
"Loyola University New Orleans","New Orleans, LA","April 19, 1990"
"Millsaps College","Jackson, MS","December 1, 1981"
"University of Mississippi","University, MS","January 3, 1930"
"Nicholls State University","Thibodaux, LA","May 14, 1971"
"University of Southern Mississippi","Hattiesburg, MS","December 11, 1950"
"University of Louisiana at Lafayette","Lafayette, LA","1961â\u0080\u00932004"
"University of Louisiana at Monroe","Monroe, LA","1972â\u0080\u00932007"
"Mississippi State University","Starkville, MS","1935â\u0080\u00932005"
"University of New Orleans","New Orleans, LA","1967â\u0080\u00932005"
"Northwestern State University","Natchitoches, LA","1963â\u0080\u00932010"
"Southeastern Louisiana University","Hammond, LA","1989â\u0080\u00931994"
"Tulane University","New Orleans, LA","1954â\u0080\u0093early 2010s[6]"

