"Game","Date Time","Team","Score","High points","High rebounds","High assists","Location Attendance","Record"
"4","November 3","@ Cleveland","L 90â\u0080\u0093102","Gilbert Arenas, Caron Butler (22)","Brendan Haywood (9)","Gilbert Arenas (5)","Quicken Loans Arena 20,562","2-2"
"5","November 4","Miami","L 89â\u0080\u009393","Gilbert Arenas (32)","Brendan Haywood (11)","Gilbert Arenas, Mike Miller & Fabricio Oberto (3)","Verizon Center 17,413","2-3"
"6","November 6","@ Indiana","L 86â\u0080\u0093102","Caron Butler (24)","Brendan Haywood (19)","Gilbert Arenas (5)","Conseco Fieldhouse 14,556","2-4"
"7","November 8","Phoenix","L 90â\u0080\u0093102","Gilbert Arenas & Andray Blatche (20)","Brendan Haywood (10)","Gilbert Arenas (6)","Verizon Center 14,143","2-5"
"8","November 10","@ Miami","L 76â\u0080\u009390","Gilbert Arenas (21)","Brendan Haywood (11)","Gilbert Arenas (8)","American Airlines Arena 15,054","2-6"
"9","November 14","Detroit","L 103â\u0080\u0093106","Mike Miller, Earl Boykins (20)","Andray Blatche (11)","Gilbert Arenas (10)","Verizon Center 20,173","2-7"
"10","November 18","Cleveland","W 108â\u0080\u009391","Antawn Jamison (31)","Brendan Haywood (13)","Gilbert Arenas (8)","Verizon Center 20,173","3-7"
"11","November 20","@ Oklahoma City","L 108â\u0080\u0093127","Caron Butler (24)","Brendan Haywood (16)","Gilbert Arenas (8)","Ford Center 18,203","3-8"
"12","November 21","@ San Antonio","L 84â\u0080\u0093106","Gilbert Arenas (18)","Brendan Haywood (8)","Earl Boykins (4)","AT&T Center 16,888","3-9"
"13","November 24","Philadelphia","W 108â\u0080\u0093107","Antawn Jamison (32)","Antawn Jamison (14)","Gilbert Arenas (8)","Verizon Center 14,485","4-9"
"14","November 27","@ Miami","W 94â\u0080\u009384","Antawn Jamison (24)","Antawn Jamison (13)","Earl Boykins (9)","American Airlines Arena 17,684","5-9"
"15","November 28","Charlotte","L 76â\u0080\u009392","Caron Butler (19)","Brendan Haywood (9)","Gilbert Arenas (6)","Verizon Center 17,311","5-10"

