"Novel (publication date)","Author","Bond girl"
"Colonel Sun (1968)","Kingsley Amis, as Robert Markham","Ariadne Alexandrou"
"Licence Renewed (1981)","John Gardner","Lavender Peacock"
"For Special Services (1982)","John Gardner","Cedar Leiter, Nena Bismaquer"
"Icebreaker (1983)","John Gardner","Paula Vacker, Rivke Ingber"
"Role of Honour (1984)","John Gardner","Persephone \"Percy\" Proud"
"Nobody Lives for Ever (1986)","John Gardner","Sukie Tempesta"
"No Deals, Mr. Bond (1987)","John Gardner","Ebbie Heritage"
"Scorpius (1988)","John Gardner","Harriett Horner"
"Win, Lose or Die (1989)","John Gardner","Clover Pennington, Beatrice Maria da Ricci"
"Brokenclaw (1990)","John Gardner","Sue Chi-Ho"
"The Man from Barbarossa (1991)","John Gardner","Stephanie AdorÃ©, Nina Bibikova"
"Death is Forever (1992)","John Gardner","Elizabeth \"Easy\" St. John"
"Never Send Flowers (1993)","John Gardner","Fredericka \"Flicka\" von GrÃ¼sse"
"SeaFire (1994)","John Gardner","Fredericka \"Flicka\" von GrÃ¼sse"
"COLD (1996)","John Gardner","Sukie Tempesta, Beatrice Maria da Ricci"
"\"Blast From the Past\" (1997)","Raymond Benson",""
"Zero Minus Ten (1997)","Raymond Benson","Sunni Pei"
"The Facts of Death (1998)","Raymond Benson","Niki Mirakos, Hera Volopoulos"
"\"Midsummer Night's Doom\" (1999)","Raymond Benson","Lisa Dergan"
"High Time to Kill (1999)","Raymond Benson","Helena Marksbury, Hope Kendal"
"\"Live at Five\" (1999)","Raymond Benson","Janet Davies"
"DoubleShot (2000)","Raymond Benson","Kimberly Feare, Heidi Taunt, Hedi Taunt"
"Never Dream of Dying (2001)","Raymond Benson","Tylyn Mignonne"
"The Man with the Red Tattoo (2002)","Raymond Benson","Reiko Tamura"
"Devil May Care (2008)","Sebastian Faulks","Scarlett Papava"
"Carte Blanche (2011)","Jeffery Deaver","Felicity Willing, Ophelia \"Philly\" Maidenstone"
"Solo (2013)","William Boyd","Bryce Fitzjohn, Efua Blessing Ogilvy-Grant"
"Trigger Mortis (2015)","Anthony Horowitz","Jeopardy Lane, Logan Fairfax, Pussy Galore"

