"Call sign","Frequency","City of license","FCC info"
"KOPB-FM","91.5 FM","Portland","FCC"
"KETP","88.7 FM","Enterprise","FCC"
"KHRV","90.1 FM","Hood River","FCC"
"KOAB-FM","91.3 FM","Bend","FCC"
"KOAC","550 AM","Corvallis","FCC"
"KOAC-FM","89.7 FM","Astoria","FCC"
"KOAP","88.7 FM","Lakeview","FCC"
"KOBK","88.9 FM","Baker City","FCC"
"KOBN","90.1 FM","Burns","FCC"
"KOGL-FM","89.3 FM","Gleneden Beach","FCC"
"KOJD","89.7 FM","John Day","FCC"
"KOPB","1600 AM","Eugene","FCC"
"KOTD","89.7 FM","The Dalles","FCC"
"KRBM","90.9 FM","Pendleton","FCC"
"KTMK-FM","91.1 FM","Tillamook","FCC"
"KTVR-FM","89.9 FM","La Grande","FCC"

