"Name","Order","Author","Year","Distribution","Reference"
"Juliomys","Rodentia","GonzÃ¡lez","2000","Argentina (Misiones), Brazil (Espirito Santo, Minas Gerais, Parana, Rio de Janeiro, Santa Catarina, SÃ£o Paulo)","GonzÃ¡lez, E.M. 2000. Un nuevo genero do roedor sigmodontino de Argentina y Brazil (Mammalia: Rodentia: Sigmodontinae). Comunicaciones Zoologicas del Museo de Historia Natural de Montevideo 12:1-12."
"Pipanacoctomys","Rodentia","Mares, Braun, Barquez & Diaz","2000","Argentina (Catamarca)","Mares, M. A., Braun, J.K., BÃ¡rquez, R.M., & DÃ­az, M.M. Two new genera and species of halophytic desert mammals from isolated salt flats in Argentina. Occasional Papers, Museum of Texas Tech University, 203:1-27.[2]"
"Salinoctomys","Rodentia","Mares, Braun, Barquez & Diaz","2000","Argentina (La Rioja)","Mares, M. A., Braun, J.K., Barquez, R.M., & Diaz, M.M. Two new genera and species of halophytic desert mammals from isolated salt flats in Argentina. Occasional Papers, Museum of Texas Tech University, 203:1-27.[3]"
"Tapecomys","Rodentia","Anderson & Yates","2000","Bolivia","Anderson, S. & Yates, T.L. 2000 A new genus and species of phyllotine rodent from Bolivia. Journal of Mammalogy 81(1):18-36.[4]"
"Hyladelphys","Didelphimorphia","Voss, Lunde & Simmons","2001","Brazil, French Guiana, Guyana, Peru","Voss, R.S., Lunde, D.P. & Simmons, N.B. 2001. Mammals of Paracou, French Guiana: a Neotropical lowland rainforest fauna. Part 2. Nonvolant species. Bulletin of the American Museum of Natural History 263:1-236.[5]"
"Handleyomys","Rodentia","Voss, GÃ³mez-Laverde & Pacheco","2002","","Voss, R.S., Gomez-Laverde, M. & Pacheco, V. 2002. A New Genus for Aepeomys fuscatus Allen, 1912, and Oryzomys intectus Thomas, 1921: Enigmatic Murid Rodents from Andean Cloud Forests. American Museum Novitates 3373:1-42. [6]"
"Sommeromys","Rodentia","Musser & Durden","2002","","Musser, G.G. & Durden, L.A. 2002. Sulawesi rodents: description of a new species of Murinae (Muridae, Rodentia) and its parasitic new species of sucking louse (Insecta, Anoplura). American Museum Novitates 3368:1-50. [7]"
"Chacodelphys","Didelphimorphia","Voss, Gardner & Jansa","2004","","Voss, R.S., Gardner, A.L. & Jansa, S.A. 2002. On the Relationships of \"Marmosa\" formosa Shamel, 1930 (Marsupialia: Didelphidae), a Phylogenetic Puzzle from the Chaco of Northern Argentina. American Museum Novitates 3442:1-18. [8]"
"Drymoreomys","Rodentia","Percequillo, Weksler & Costa","2011","Brazil (Santa Catarina, SÃ£o Paulo)","Percequillo, A.R., Weksler, M. & Costa, L.P. 2011. A new genus and species of rodent from the Brazilian Atlantic Forest (Rodentia: Cricetidae: Sigmodontinae: Oryzomyini), with comments on oryzomyine biogeography. Zoological Journal of the Linnean Society 161:357-390. [9]"

