"YEAR","WORLD CONGRESS","WPA PRESIDENT"
"1950","Paris","Jean Delay (France)"
"1957","Zurich","Jean Delay (France)"
"1961","Montreal","D. Ewen Cameron (Canada)"
"1966","Madrid","Juan J. LÃ³pez-Ibor (Spain)"
"1972","Mexico City","Howard Rome (USA)"
"1977","Hawaii","Pierre Pichot (France)"
"1983","Vienna","Costas Stefanis (Greece)"
"1989","Athens","Jorge A. Costa e Silva (Brazil)"
"1993","Rio de Janeiro","Felice Lieh-Mak (Hong Kong)"
"1996","Madrid","Norman Sartorius (Switzerland)"
"1999","Hamburg","Juan J. LÃ³pez-Ibor, Jr. (Spain)"
"2002","Yokohama","Ahmed Okasha (Egypt)"
"2005","Cairo","Juan Mezzich (Peru)"
"2008","Prague","Mario Maj (Italy)"
"2011","Buenos Aires","Pedro Ruiz (USA)"
"2014","Madrid","Dinesh Bhugra (U.K.)"

