"Author","Min. estimated sales","Max. estimated sales","Original language","Genre or title","Number of books","Citizenship"
"Shakespeare, WilliamWilliam Shakespeare","2 billion[2]","4 billion[3]","English","Plays and poetry","","English"
"Christie, AgathaAgatha Christie","2 billion[4]","4 billion[3]","English","Whodunits including the Miss Marple and Hercule Poirot series","85","British"
"Cartland, BarbaraBarbara Cartland","500 million[5]","1 billion[6]","English","Romance","723","British"
"Steel, DanielleDanielle Steel","500 million[7]","800 million[8]","English","Romance","120","American"
"Robbins, HaroldHarold Robbins","750 million[9]","750 million[10]","English","Adventure","23","American"
"Simenon, GeorgesGeorges Simenon","500 million[11]","700 million[12]","French","Detectives, Maigret","570","Belgian"
"Sheldon, SidneySidney Sheldon","370 million[13]","600 million[14]","English","Suspense","21","American"
"Blyton, EnidEnid Blyton","300 million[15]","600 million[16]","English","Children's literature, Noddy, The Famous Five, The Secret Seven","800","British"
"Seuss, Dr.Dr. Seuss","100 million[17]","500 million[18]","English","Children's literature","44","American"
"Patten, GilbertGilbert Patten","125 million[19]","500 million[20]","English","Adolescent adventures","209","American"
"Rowling, J. K.J. K. Rowling","350 million[21]","450 million[22]","English","Harry Potter","11","British"
"Tolstoy, LeoLeo Tolstoy","","413 million[23]","Russian","War and Peace, Anna Karenina","48","Russian"
"Tellado, CorÃ­nCorÃ­n Tellado","400 million[24]","400 million[25]","Spanish","Romance","4,000","Spanish"
"Collins, JackieJackie Collins","250 million[26]","400 million[27]","English","Romance","25","British"
"Alger, Jr., HoratioHoratio Alger, Jr.","200 million[28]","400 million[29]","English","Dime novels","135","American"
"Stine, R. L.R. L. Stine","100 million[30]","400 million[31]","English","Goosebumps series, Fear Street series, horror, comedy","430+","American"
"Koontz, DeanDean Koontz","325 million[32]","400 million[33]","English","Horror, thriller, science fiction, fantasy","91","American"
"Roberts, NoraNora Roberts","145 million[34]","400 million[35]","English","Romance","200+","American"
"Pushkin, AlexanderAlexander Pushkin","","357 million[23]","Russian","Plays, poetry, prose, Eugene Onegin","17","Russian"
"King, StephenStephen King","300 million[36]","350 million[37]","English","Horror, science fiction, fantasy, It, The Shining, The Stand, Bag Of Bones, Needful Things","70","American"
"L'Amour, LouisLouis L'Amour","230 million[38]","330 million[39]","English","Western","101","American"
"Gardner, Erle StanleyErle Stanley Gardner","100 million[40]","325 million[41]","English","Mystery, Perry Mason","140","American"
"Jin Yong","100 million[42]","300 million[43][44]","Chinese","Wuxia","15","Hong Kong Chinese"
"Akagawa, JirÅ\u008DJirÅ\u008D Akagawa","","300 million[45]","Japanese","Mystery","500+","Japanese"
"Dailey, JanetJanet Dailey","300 million[46]","300 million[47]","English","Romance","93","American"
"Wallace, EdgarEdgar Wallace","","300 million[48]","English","Detective","175","British"
"Ludlum, RobertRobert Ludlum","110 million[49]","290 million[50]","English","Espionage, Jason Bourne","40","American"
"Patterson, JamesJames Patterson","150 million[51]","275 million[52]","English","Thriller, Alex Cross","98","American"
"Dard, FrÃ©dÃ©ricFrÃ©dÃ©ric Dard","200 million[53]","270 million[54]","French","Detective, San Antonio","300","Swiss"
"Archer, JeffreyJeffrey Archer","120 million[55]","270 million[56]","English","Crime thriller","30","British"
"Berenstain, Stan and JanStan and Jan Berenstain","200 million[57]","260 million[58]","English","Berenstain Bears","300+","American"
"Grisham, JohnJohn Grisham","100 million[59]","250 million[60]","English","Legal thriller","22","American"
"Grey, ZaneZane Grey","","250 million[61]","English","Western","","American"
"Wallace, IrvingIrving Wallace","","250 million[62]","English","Suspense","","American"
"Tolkien, J. R. R.J. R. R. Tolkien","200 million[63]","250 million[64]","English","The Lord of the Rings, The Hobbit, classical fantasy","36","British"
"May, KarlKarl May","100 million[65]","200 million[66]","German","Western, adventure","80","German"
"Spillane, MickeyMickey Spillane","100 million[67]","200 million[68]","English","Detective, Mike Hammer","","American"
"Lewis, C. S.C. S. Lewis","100 million[69]","200 million[70]","English","The Chronicles of Narnia, fantasy, popular theology","38","British"
"Nishimura, KyotaroKyotaro Nishimura","","200 million[71]","Japanese","Mystery","400+","Japanese"
"Brown, DanDan Brown","200 million","200 million[72]","English","Thriller, Robert Langdon","6","American"
"Martin, Ann M.Ann M. Martin","172 million[73]","180 million[74]","English","The Baby-sitters Club","335","American"
"Shiba, RyÅ\u008DtarÅ\u008DRyÅ\u008DtarÅ\u008D Shiba","","180 million[75]","Japanese","Historical","350","Japanese"
"Hailey, ArthurArthur Hailey","150 million[76]","170 million[77]","English","Thriller","11","British\/Canadian"
"Villiers, GÃ©rard deGÃ©rard de Villiers","","150 million[78]","French","Detectives, SAS","170","French"
"Potter, BeatrixBeatrix Potter","100 million[79]","150 million[80]","English","Peter Rabbit","23","British"
"Crichton, MichaelMichael Crichton","150 million[81]","150 million[82]","English","Techno thriller","25","American"
"Scarry, RichardRichard Scarry","100 million[83]","150 million[84]","English","Illustrated children's books","250","American"
"Cussler, CliveClive Cussler","40 million[85]","150 million[86]","English","Adventure, Dirk Pitt","37","American"
"MacLean, AlistairAlistair MacLean","","150 million[87]","English","Adventure, thriller, war stories","32","British"
"Follett, KenKen Follett","90 million[88]","150 million[89]","English","Spy thriller, historical thriller","30","British"
"Lindgren, AstridAstrid Lindgren","100 million[90]","145 million[91]","Swedish","Children's literature","100","Swedish"
"Macomber, DebbieDebbie Macomber","60 million[92]","140 million[93]","English","Romance","","American"
"Coelho, PauloPaulo Coelho","92 million[94]","140 million[95]","Portuguese","The Alchemist","","Brazilian"
"EL James","100 million","125 million","English","Fifty Shades of Grey","3","British"
"Yoshikawa, EijiEiji Yoshikawa","","120 million[96]","Japanese","Musashi","7","Japanese"
"Cookson, CatherineCatherine Cookson","100 million[97]","120 million[98]","English","Romance","103","British"
"Meyer, StephenieStephenie Meyer","100 million[99]","116 million[100]","English","The Twilight Saga, The Host, romance","6","American"
"Bridwell, NormanNorman Bridwell","100 million[101]","110 million[102]","English","Clifford the Big Red Dog","80","American"
"Baldacci, DavidDavid Baldacci","","110 million[103]","English","Thriller","25","American"
"Dahl, RoaldRoald Dahl","200 million[104]","200 million[105]","English","Children's literature","50","British"
"Hunter, EvanEvan Hunter","100 million[106]","100 million[107]","English","Detective (Ed McBain)","94","American"
"Neiderman, AndrewAndrew Neiderman","100 million[108]","100 million[109]","English","V. C. Andrews, The Devil's Advocate","60","American"
"Hargreaves, RogerRoger Hargreaves","100 million[110]","100 million[111]","English","Children's literature, Mr. Men","","British"
"Rice, AnneAnne Rice","75 million[112]","100 million[113]","English","Gothic fiction, vampires, Interview with the Vampire (The Vampire Chronicles)","27","American"
"Cook, RobinRobin Cook","100 million[114]","100 million[115]","English","Medical thriller","27","American"
"Smith, WilburWilbur Smith","80 million[116]","100 million[117]","English","African adventure","32","Zambian"
"Caldwell, ErskineErskine Caldwell","80 million[118]","100 million[119]","English","Literature","25","American"
"Judith Krantz","80 million[citation needed]","100 million[citation needed]","English","Romance","12","American"
"Hibbert, EleanorEleanor Hibbert","100 million[120]","100 million[121]","English","Romance, historical, suspense","200","British"
"Carroll, LewisLewis Carroll","","100 million[122]","English","Alice's Adventures in Wonderland, absurdist literature","5","British"
"Robins, DeniseDenise Robins","","100 million[123]","English","Romance","200","British"
"Xueqin, CaoCao Xueqin","","100 million[124]","Chinese","Dream of the Red Chamber","","Chinese"
"Fleming, IanIan Fleming","100 million[125]","100 million[126]","English","James Bond","14","British"
"Hesse, HermannHermann Hesse","100 million[127]","100 million[128]","German","Steppenwolf, Siddhartha, The Glass Bead Game","45","German-Swiss"
"Stout, RexRex Stout","100 million[129]","100 million[130]","English","Nero Wolfe","50","American"
"Golon, AnneAnne Golon","100 million[131]","100 million[132]","French","AngÃ©lique","14","French"
"Slaughter, Frank G.Frank G. Slaughter","","100 million[133]","English","Medical","62","American"
"Burroughs, Edgar RiceEdgar Rice Burroughs","100 million[134]","100 million[135]","English","Tarzan, Barsoom and Pellucidar series, science fantasy","","American"
"Creasey, JohnJohn Creasey","","100 million[136]","English","Crime thriller","600","British"
"Michener, JamesJames Michener","","100 million[137]","English","Historical","47","American"
"Uchida, YasuoYasuo Uchida","","100 million[138]","Japanese","Mystery","130+","Japanese"
"Morimura, SeiichiSeiichi Morimura","","100 million[138]","Japanese","Mystery","350+","Japanese"
"Higgins Clark, MaryMary Higgins Clark","100 million[139]","100 million[140]","English","Thriller","","American"
"Jordan, PennyPenny Jordan","90 million[141]","100 million[142]","English","Romance","200+","British"
"Cornwell, PatriciaPatricia Cornwell","","100 million[143]","English","Thriller","","American"
"Clancy, TomTom Clancy","","100 million[144]","English","Thriller","","American"

