"Common name","Binomial","Status"
"European honey buzzard","Pernis apivorus",""
"Black-winged kite","Elanus caeruleus","*"
"Black kite","Milvus migrans",""
"Red kite","Milvus milvus",""
"Pallas's fish eagle","Haliaeetus leucoryphus","B *"
"White-tailed eagle","Haliaeetus albicilla",""
"Lammergeier","Gypaetus barbatus","B *"
"Egyptian vulture","Neophron percnopterus","*"
"Griffon vulture","Gyps fulvus","*"
"Black vulture","Aegypius monachus","*"
"Short-toed eagle","Circaetus gallicus",""
"Marsh harrier","Circus aeruginosus",""
"Hen harrier","Circus cyaneus",""
"Pallid harrier","Circus macrourus","*"
"Montagu's harrier","Circus pygargus",""
"Northern goshawk","Accipiter gentilis",""
"Sparrowhawk","Accipiter nisus",""
"Levant sparrowhawk","Accipiter brevipes","*"
"Buzzard","Buteo buteo",""
"Long-legged buzzard","Buteo rufinus","*"
"Rough-legged buzzard","Buteo lagopus",""
"Lesser spotted eagle","Aquila pomarina",""
"Spotted eagle","Aquila clanga",""
"Steppe eagle","Aquila nipalensis","*"
"Imperial eagle","Aquila heliaca","*"
"Golden eagle","Aquila chrysaetos",""
"Booted eagle","Aquila pennata","*"

