"Newspaper","Circulation","Headquarters","Est.","Political alignment"
"Corriere della Sera","319 484","Milan","1876","Centrism"
"la Repubblica","275 415","Rome","1976","Cultural liberalism"
"La Gazzetta dello Sport","215 361","Milan","1896","â\u0080\u0094"
"La Stampa","188 582","Turin","1867","Social liberalism"
"Il Sole 24 Ore","175 485","Milan","1865","Economic liberalism"
"Il Messaggero","124 879","Rome","1878","Social liberalism"
"il Resto del Carlino","118 461","Bologna","1885","Conservative liberalism"
"Avvenire","115 332","Milan","1968","Christian left"
"Corriere dello Sport","112 215","Rome","1924","â\u0080\u0094"
"La Nazione","93 607","Florence","1859","Conservative liberalism"
"il Giornale","85 562","Milan","1974","Conservatism"
"Tuttosport","62 680","Turin","1945","â\u0080\u0094"
"Libero","50 406","Milan","2000","Liberal conservatism"
"Il Giorno","49 616","Milan","1956","Social liberalism"
"Il Mattino","46 920","Naples","1892","Social liberalism"
"Italia Oggi","44 505","Milan","1991","Economic liberalism"
"Il Fatto Quotidiano","38 194","Rome","2009","Constitutionalism"
"Il Tempo","28 592","Rome","1944","Conservatism"
"il manifesto","11 283","Rome","1969","Communism"

