"Publication","City","State","Circulation"
"Arkansas Times","Little Rock","AR","30,087"
"Artvoice","Buffalo","NY","65,000"
"The Athens News","Athens","OH","18,018"
"The Austin Chronicle","Austin","TX","91,051"
"Baltimore City Paper","Baltimore","MD","80,000"
"Birmingham Weekly","Birmingham","AL","25,000"
"Black & White","Birmingham","AL","27,000"
"Boise Weekly","Boise","ID","30,000"
"Boston's Weekly Dig","Boston","MA","40,000"
"Boulder Weekly","Boulder","CO","25,000"
"Charleston City Paper","Charleston","SC","40,000"
"Chicago Reader","Chicago","IL","100,000"
"Chico News & Review","Chico","CA","36,957"
"Cincinnati CityBeat","Cincinnati","OH","40,000"
"City Newspaper","Rochester","NY","39,193"
"City Pages (Twin Cities)","Minneapolis","MN","92,000"
"Cityview","Des Moines","IA","29,618"
"Cleveland Scene","Cleveland","OH","52,000"
"The Coast","Halifax","NS","22,384"
"Colorado Springs Independent","Colorado Springs","CO","36,000"
"Columbia Free Times","Columbia","SC","35,823"
"Creative Loafing","Atlanta","GA","96,654"
"Creative Loafing (Charlotte)","Charlotte","NC","47,066"
"Creative Loafing (Tampa)","Tampa","FL","49,862"
"C-Ville Weekly","Charlottesville","VA","24,507"
"Dallas Observer","Dallas","TX","82,943"
"East Bay Express","Oakland","CA","49,766"
"Easy Reader","Hermosa Beach","CA","57,000"
"Eugene Weekly","Eugene","OR","40,123"
"Fairfield County Weekly","New Haven","CT","30,000"
"Fast Forward Weekly","Calgary","AB","27,179"
"Flagpole Magazine","Athens","GA","14,825"
"Folio Weekly","Jacksonville","FL","45,046"
"Fort Worth Weekly","Fort Worth","TX","47,500"
"Gambit Weekly","New Orleans","LA","40,000"
"The Georgia Straight","Vancouver","BC","119,971"
"Hartford Advocate","Hartford","CT","45,000"
"Honolulu Weekly","Honolulu","HI","36,142"
"Houston Press","Houston","TX","82,737"
"Illinois Times","Springfield","IL","29,958"
"Independent Weekly (NC)","Durham","NC","43,014"
"The Independent Weekly (Lafayette, La.)","Lafayette","LA","15,000"
