"Year","Film","Director","Notes","Producer","Screenplay"
"1958","Mudalali","","","",""
"1959","Paanjali","","","",""
"1959","Naalu Veli Nilam","","","",""
"1959","Thamarai Kulam","","","",""
"1960","Odi Viliyadu Paapa","","","",""
"1961","Panithirai","","","",""
"1963","Idayathil Nee","","","",""
"1965","Poojaikku Vandha Malar","","","",""
"1965","Magane Kel","","","",""
"1966","Then Mazhai","","","",""
"1967","Ninaivil Nindraval","","","",""
"1968","Bommalattam","","","",""
"1969","Ayiram Poi","","","",""
"1969","Nirai Kudam","","","",""
"1971","Arunodhayam","","","",""
"1972","Thava Pudhalvan","","","",""
"1973","Suryakanthi","","","",""
"1973","Anbai Thedi","","","",""
"1975","Cinema Paithiyam","","","",""
"1975","Andharangam","","","",""
"1976","Perum Pugazhum","","","",""
"1977","Balaparitchai","","","",""
"1978","Andaman Kadhali","","","",""
"1979","Imayam","","","",""
"1979","Sri Ramajayam","","","",""
"1980","Avan Aval Adhu","","","",""
"1980","Polladhavan","","","",""
"1981","Keezh Vaanam Sivakkum","","","",""
"1982","Simla Special","","","",""
"1982","Paritchaikku Neramaachu","","","",""
"1983","Sivappu Sooriyan","","","",""
"1983","Thambathigal","","","",""
"1984","Iru Medhaigal","","","",""
"1985","Oru Malarin Payanam","","","",""
"1986","Kodai Mazhai","","","",""
"1987","Nayagan","","","",""
"1988","Kathanayagan","","","",""
"1989","Vaai Kozhuppu","","","",""
"1989","Chinna Chinna Aasaigal","","","",""
"1990","Ethir Kaatru","","","",""
"1992","Brahmachari","","","",""
"1994","Rajapandi","","","",""
"1998","Kangalin Vaarthaigal","","","",""
"2013","Pathayeram Kodi","","","","[10]"

