"Lake","Area (including islands)","Altitude","Depth max.","Volume"
"Lake Superior[3]","82,100 km2 (31,700 sq mi)","184 m (604 ft)","406 m (1,332 ft)","12,000 km3 (2,900 cu mi)"
"Lake Huron[3]","59,600 km2 (23,000 sq mi)","177 m (581 ft)","229 m (751 ft)","3,543 km3 (850 cu mi)"
"Lake Erie[3]","25,700 km2 (9,900 sq mi)","174 m (571 ft)","64 m (210 ft)","480 km3 (120 cu mi)"
"Lake Ontario[3]","18,960 km2 (7,320 sq mi)","75 m (246 ft)","244 m (801 ft)","1,640 km3 (390 cu mi)"
"Lake Nipigon","4,848 km2 (1,872 sq mi)","260 m (850 ft)","54.9 m (180 ft)","248 km3 (59 cu mi)"
"Lake of the Woods","3,150 km2 (1,220 sq mi)","323 m (1,060 ft)","64 m (210 ft)",""
"Lac Seul","1,657 km2 (640 sq mi)","357 m (1,171 ft)","47.2 m (155 ft)","15 km3 (3.6 cu mi)"
"Lake St. Clair","1,114 km2 (430 sq mi)","175 m (574 ft)","8.2 m (27 ft)","3.4 km3 (0.82 cu mi)"
"Rainy Lake","932 km2 (360 sq mi)","338 m (1,109 ft)","50 m (160 ft)",""
"Lake Abitibi","931 km2 (359 sq mi)","265 m (869 ft)","10 m (33 ft)",""
"Lake Nipissing","832 km2 (321 sq mi)","196 m (643 ft)","69 m (226 ft)","3.8 km3 (0.91 cu mi)"
"Lake Simcoe","744 km2 (287 sq mi)","219 m (719 ft)","41 m (135 ft)","11.6 km3 (2.8 cu mi)"
"Big Trout Lake","661 km2 (255 sq mi)","213 m (699 ft)","39.6 m (130 ft)",""
"Sandy Lake","527 km2 (203 sq mi)","276 m (906 ft)","41.8 m (137 ft)","2.72 km3 (0.65 cu mi)"
"Lake St. Joseph","493 km2 (190 sq mi)","371 m (1,217 ft)","",""
"Trout Lake","413 km2 (159 sq mi)","394 m (1,293 ft)","",""

