"Week","Player(s)","Team(s)","Highlights","Player(s)","Team(s)","Highlights"
"April 4â\u0080\u0093April 8","Miguel Cabrera[148]","Detroit Tigers",".455 (5â\u0080\u009311); 5 Runs; 3 HR; 8 RBI; 1.806 OPS","Matt Kemp[149]","Los Angeles Dodgers",".412 (7â\u0080\u009317); 6 Runs; 2 HR; 8 RBI; 1.212 OPS"
"April 9â\u0080\u0093April 15","Josh Willingham[150]","Minnesota Twins",".455 (10â\u0080\u009322); 6 Runs; 3 HR; 4 RBI; 1.448 OPS","Matt Kemp[150]","Los Angeles Dodgers",".545 (12â\u0080\u009322); 7 Runs; 4 HR; 8 RBI; 1.797 OPS"
"April 16â\u0080\u0093April 22","Philip Humber[151]","Chicago White Sox","1â\u0080\u00930; 0.63 ERA; 14.1 IP; K\/BB 16\/3; .122 BAA; Perfect game","Freddie Freeman[151]","Atlanta Braves",".478 (11â\u0080\u009323); 7 Runs; 3 HR; 14 RBI; 1.568 OPS"
"April 23â\u0080\u0093April 29","Paul Konerko[152]","Chicago White Sox",".435 (10â\u0080\u009323); 3 Runs; 3 HR; 4 RBI; 1.457 OPS","Jay Bruce[153]","Cincinnati Reds",".476 (10â\u0080\u009321); 7 Runs; 4 HR; 10 RBI; 1.685 OPS"
"April 30â\u0080\u0093May 6","Jered Weaver[154]","Los Angeles Angels of Anaheim","1â\u0080\u00930; 0.00 ERA; 9 IP; K\/BB 9\/1; .000 BAA; No-hitter","Freddie Freeman[155]","Atlanta Braves",".367 (11â\u0080\u009330); 6 Runs; 3 HR; 10 RBI; 1.130 OPS"
"May 7â\u0080\u0093May 13","Josh Hamilton[156]","Texas Rangers",".467 (14â\u0080\u009330); 10 Runs; 9 HR; 18 RBI; 1.963 OPS; 4 home run game (May 8)","Carlos BeltrÃ¡n[157]","St. Louis Cardinals",".360 (9â\u0080\u009325); 8 Runs; 6 HR; 13 RBI; 1.648 OPS"
"May 14â\u0080\u0093May 20","J. P. Arencibia[158]","Toronto Blue Jays",".360 (9â\u0080\u009325); 7 Runs; 4 HR; 10 RBI; 1.305 OPS","Clayton Kershaw[159]","Los Angeles Dodgers","2â\u0080\u00930; 0.00 ERA; 16 IP; K\/BB 10\/3; CG SHO; .185 BAA"
"May 21â\u0080\u0093May 27","Paul Konerko[160]","Chicago White Sox",".583 (14â\u0080\u009324); 10 Runs; 3 HR; 10 RBI; 1.740 OPS","R. A. Dickey[161]","New York Mets","2â\u0080\u00930; 0.63 ERA; 14.1 IP; K\/BB 21\/1; .167 BAA"
"May 28â\u0080\u0093June 3","Justin Smoak[162]","Seattle Mariners",".348 (8â\u0080\u009323); 7 Runs; 3 HR; 8 RBI; 1.265 OPS","Johan Santana[163]","New York Mets","1â\u0080\u00930; 0.00 ERA; 9 IP; K\/BB 8\/5; No-hitter; First no-hitter in Mets history"
"June 4â\u0080\u0093June 10","Torii Hunter[164]","Los Angeles Angels of Anaheim",".500 (11â\u0080\u009322); 10 Runs; 4 HR; 10 RBI; 1.605 OPS","Ryan Dempster[165]","Chicago Cubs","2â\u0080\u00930; 0.00 ERA; 15 IP; K\/BB 9\/1; .137 BAA"
"June 4â\u0080\u0093June 10","Mike Trout[164]","Los Angeles Angels of Anaheim",".520 (13â\u0080\u009325); 10 Runs; 4 RBI; 4 SB; 1.167 OPS","Jason Kubel[165]","Arizona Diamondbacks",".409 (9â\u0080\u009322); 6 Runs; 2 HR; 12 RBI; 1.253 OPS"
"June 11â\u0080\u0093June 17","Brandon Moss[166]","Oakland Athletics",".348 (8â\u0080\u009323); 7 Runs; 5 HR; 10 RBI; 1.530 OPS","Matt Cain[167]","San Francisco Giants","1â\u0080\u00930; 0.00 ERA; 9 IP; K\/BB 14\/0; .000 BA; Perfect game"
"June 18â\u0080\u0093June 24","Will Middlebrooks[168]","Boston Red Sox",".625 (10â\u0080\u009316); 6 Runs; 3 HR; 10 RBI; 2.007 OPS","Jason Heyward[169]","Atlanta Braves",".522 (12â\u0080\u009323); 9 Runs; 3 HR; 5 RBI; 1.672 OPS"
"June 25â\u0080\u0093July 1","Robinson CanÃ³[170]","New York Yankees",".414 (12â\u0080\u009329); 5 Runs; 4 HR; 10 RBI; 1.310 OPS","Mat Latos[171]","Cincinnati Reds","2â\u0080\u00930; 1.00 ERA; 18 IP (2 CG); K\/BB 20\/2; .100 BAA"
"July 2â\u0080\u0093July 8","Kevin Youkilis[172]","Chicago White Sox",".478 (11â\u0080\u009323); 7 Runs; 3 HR; 10 RBI; 1.484 OPS","Andrew McCutchen[172]","Pittsburgh Pirates",".517 (15â\u0080\u009329); 11 Runs; 3 HR; 9 RBI; 1.479 OPS"
"July 9â\u0080\u0093July 15","Yoenis CÃ©spedes[173]","Oakland Athletics",".571 (8â\u0080\u009314); 5 Runs; 2 HR; 6 RBI; 1.643 OPS","Andrew McCutchen[174]","Pittsburgh Pirates",".583 (7â\u0080\u009312); 3 Runs; 3 HR; 4 RBI; 1.976 OPS"
"July 16â\u0080\u0093July 22","Adrian Gonzalez[175]","Boston Red Sox",".429 (12â\u0080\u009328); 5 Runs; 3 HR; 12 RBI; 1.179 OPS","Ryan Zimmerman[176]","Washington Nationals",".500 (15â\u0080\u009330); 9 Runs; 5 HR; 8 RBI; 1.638 OPS"
"July 23â\u0080\u0093July 29","Billy Butler[177]","Kansas City Royals",".458 (11â\u0080\u009324); 4 Runs; 1 HR; 6 RBI; 1.260 OPS","Carlos GÃ³mez[178]","Milwaukee Brewers",".346 (9â\u0080\u009326); 10 Runs; 4 HR; 10 RBI; 1.264 OPS"
"July 23â\u0080\u0093July 29","Billy Butler[177]","Kansas City Royals",".458 (11â\u0080\u009324); 4 Runs; 1 HR; 6 RBI; 1.260 OPS","Drew Stubbs[178]","Cincinnati Reds",".370 (10â\u0080\u009327); 9 Runs; 3 HR; 10 RBI; 1.197 OPS"
"July 30â\u0080\u0093August 5","Albert Pujols[179]","Los Angeles Angels of Anaheim",".424 (14â\u0080\u009333); 9 Runs; 6 HR; 13 RBI; 1.566 OPS","A. J. Burnett[180]","Pittsburgh Pirates","2â\u0080\u00930; 1.02 ERA; 17.2 IP; K\/BB 15\/5; CG SHO; .071 BAA"
"August 6â\u0080\u0093August 12","Adrian Gonzalez[181]","Boston Red Sox",".393 (11â\u0080\u009328); 6 Runs; 2 HR; 14 RBI; 1.290 OPS","Chase Headley[182]","San Diego Padres",".333 (8â\u0080\u009324); 6 Runs; 3 HR; 11 RBI; 1.110 OPS"
"August 6â\u0080\u0093August 12","Manny Machado[181]","Baltimore Orioles",".375 (6â\u0080\u009316); 5 Runs; 3 HR; 7 RBI; 1.500 OPS","Chase Headley[182]","San Diego Padres",".333 (8â\u0080\u009324); 6 Runs; 3 HR; 11 RBI; 1.110 OPS"
