"Branding","Callsign","Frequency","Location"
"DZCA Eadyo Asenso 1170 Manila*","DZCA","1170 kHz","Mega Manila"
"DZYR Radyo Asenso 1359 La Union*","DZYR","1359 kHz","San Fernando, La Union"
"DZAP Radyo Asenso 1260 Dagupan","DZAP","1260 kHz","Dagupan"
"DZYA Eadyo Asenso 1296 Pampanga*","DZYA","1296 kHz","Angeles"
"DZTC Radyo Asenso 828 Tarlac","DZTC","828 kHz","Tarlac"
"DWLQ Radyo Asenso 1296 Lucena","DWLQ","1188 kHz","Lucena"
"DWRL Radyo Asenso 1080 Legaspi","DWRL","1080 kHz","Legaspi"
"DZYM Radyo Asenso 1539 Mindoro","DZYM","1539 kHz","San Jose, Occidental Mindoro"
"DYRL Radyo Asenso 1035 Bacolod","DYRL","1035 kHz","Bacolod"
"DYRB Radyo Asenso 720 Cebu","DYRB","720 kHz","Cebu"
"DYRM Radyo Asenso 1134 Dumaguete","DYRM","1134 kHz","Dumaguete"
"DXRH Radyo Asenso 1080 Zamboanga*","DXRH","1080 kHz","Zamboanga"
"DXCO Radyo Asenso 1044 Cagayan de Oro","DXCO","1044 kHz","Cagayan de Oro"
"DXOW Radyo Asenso 981 Davao","DXOW","981 kHz","Davao"
"DXGS Radyo Asenso 765 General Santos","DXGS","765 kHz","General Santos"
"DXJM Radyo Asenso 756 Butuan","DXJM","756 kHz","Butuan"

