"Delegate","Interview","Swimsuit","Evening Gown","Average"
"Holland","9.583 (1)","9.725 (1)","9.824 (1)","9.711 (1)"
"Sweden","9.261 (2)","9.233 (2)","9.376 (2)","9.290 (2)"
"Poland","8.472 (6)","9.105 (3)","9.027 (4)","8.868 (3)"
"Mexico","8.650 (3)","8.883 (5)","9.026 (5)","8.853 (4)"
"USA","8.511 (5)","8.894 (4)","8.927 (8)","8.777 (5)"
"Germany","8.461 (7)","8.737 (7)","9.010 (6)","8.736 (6)"
"Venezuela","8.204 (8)","8.727 (8)","9.096 (3)","8.676 (7)"
"Finland","8.533 (4)","8.661 (9)","8.755 (9)","8.650 (8)"
"Jamaica","8.111 (9)","8.788 (6)","8.933 (7)","8.611 (9)"
"Chile","8.033 (10)","8.505 (10)","8.755 (10)","8.431 (10)"

