"County","INCITS [1]","County seat [2]","Established [2]","Origin","Etymology[3][4]","Population [2]","Area [2]","Map"
"Adams County","001","Quincy","1825","Pike County","John Quincy Adams (1767â\u0080\u00931848), sixth President of the United States","67,103","857 sq mi (2,220 km2)",""
"Alexander County","003","Cairo","1819","Union County","William M. Alexander, a settler and state representative in the Illinois General Assembly","8,238","236 sq mi (611 km2)",""
"Bond County","005","Greenville","1817","Crawford County, Edwards County, and Madison County","Shadrach Bond (1773â\u0080\u00931832), First Governor of Illinois","17,768","380 sq mi (984 km2)",""
"Boone County","007","Belvidere","1837","Winnebago County","Daniel Boone (1734-1820), trailblazer of the Wilderness Road in Kentucky","54,165","281 sq mi (728 km2)",""
"Brown County","009","Mount Sterling","1839","Schuyler County","Jacob Brown (1775â\u0080\u00931828), a successful American Revolution army officer responsible for Great Lakes defenses","6,937","306 sq mi (793 km2)",""
"Bureau County","011","Princeton","1837","Putnam County","Pierre de Bureo, Frenchman, North American fur trader","34,978","869 sq mi (2,251 km2)",""
"Calhoun County","013","Hardin","1825","Pike County","John C. Calhoun (1782â\u0080\u00931850), South Carolina senator and seventh Vice President of the United States","5,089","254 sq mi (658 km2)",""
"Carroll County","015","Mount Carroll","1839","Jo Daviess","Charles Carroll of Carrollton (1737â\u0080\u00931832), signed the Declaration of Independence on behalf of Maryland","15,387","444 sq mi (1,150 km2)",""
"Cass County","017","Virginia","1837","Morgan County","Lewis Cass (1782â\u0080\u00931866), second governor of Michigan Territory, fourteenth United States Secretary of War","13,642","376 sq mi (974 km2)",""
"Champaign County","019","Urbana","1833","Vermilion County","Champaign County, Ohio, which took its name from the French for \"open level country\"","201,081","997 sq mi (2,582 km2)",""
"Christian County","021","Taylorville","1839","Sangamon County","Christian County, Kentucky, which was itself named after Colonel William Christian","34,800","709 sq mi (1,836 km2)",""
"Clark County","023","Marshall","1819","Crawford County","George Rogers Clark (1752â\u0080\u00931818), highest-ranking officer in the Northwest Territory during the American Revolution","16,335","502 sq mi (1,300 km2)",""
"Clay County","025","Louisville","1824","Wayne, Lawrence, Fayette, and Crawford County","Henry Clay (1777â\u0080\u00931852), Kentucky legislator who negotiated the Missouri Compromise","13,815","469 sq mi (1,215 km2)",""
"Clinton County","027","Carlyle","1824","Washington, Bond, and Fayette County","DeWitt Clinton (1769â\u0080\u00931828), Governor of New York, responsible for the construction of the Erie Canal","37,762","474 sq mi (1,228 km2)",""
"Coles County","029","Charleston","1830","Clark and Edgar County","Edward Coles (1786â\u0080\u00931868), second Governor of Illinois, responsible for the abolition of slavery in Illinois","53,873","508 sq mi (1,316 km2)",""
"Cook County","031","Chicago","1831","Putnam County","Daniel Pope Cook (1794â\u0080\u00931827), politician and first Attorney General of Illinois","5,194,675","946 sq mi (2,450 km2)",""
"Crawford County","033","Robinson","1816","Edwards County","William H. Crawford (1772â\u0080\u00931834), ninth United States Secretary of War, seventh Secretary of the Treasury","19,817","444 sq mi (1,150 km2)",""
"Cumberland County","035","Toledo","1843","Coles County","Disputed: Cumberland Road, which entered the county; Cumberland, Maryland; or Cumberland River in Kentucky","11,048","346 sq mi (896 km2)",""
"DeKalb County","037","Sycamore","1837","Kane County","Johann de Kalb (1721â\u0080\u009380), German soldier in the Continental Army who fought alongside Gilbert du Motier, marquis de Lafayette","105,160","634 sq mi (1,642 km2)",""
"DeWitt County","039","Clinton","1839","Macon and McLean County","DeWitt Clinton (1769â\u0080\u00931828), Governor of New York, responsible for the construction of the Erie Canal","16,561","398 sq mi (1,031 km2)",""
"Douglas County","041","Tuscola","1859","Coles County","Stephen A. Douglas (1813â\u0080\u009361), prominent Illinois Democrat who engaged in debates with Abraham Lincoln","19,980","417 sq mi (1,080 km2)",""
"DuPage County","043","Wheaton","1839","Cook County","DuPage River","916,924","334 sq mi (865 km2)",""
"Edgar County","045","Paris","1823","Clark County","John Edgar (c. 1750â\u0080\u00931832), Illinois delegate to the Northwest Territory legislature; at time, wealthiest man in Illinois","18,576","624 sq mi (1,616 km2)",""
"Edwards County","047","Albion","1814","Gallatin County and Madison County","Ninian Edwards (1775â\u0080\u00931833), third Governor of the State of Illinois and only governor of the Illinois Territory","6,721","222 sq mi (575 km2)",""
"Effingham County","049","Effingham","1831","Fayette and Crawford County","Lord Thomas Effingham, military officer who resigned from the British Army to avoid fighting the American colonies","34,242","479 sq mi (1,241 km2)",""
"Fayette County","051","Vandalia","1821","Bond, Wayne, Clark, Jefferson, and Crawford County","Marquis de la Fayette (1757â\u0080\u00931834), French military officer who was a key factor in the American and French Revolutions.","22,140","716 sq mi (1,854 km2)",""
"Ford County","053","Paxton","1859","Vermilion County","Thomas Ford (1800â\u0080\u009350), eighth Governor of Illinois; served during the Illinois Mormon War","14,081","486 sq mi (1,259 km2)",""
"Franklin County","055","Benton","1818","White County and Gallatin County","Benjamin Franklin (1706â\u0080\u009390), prolific writer, inventor, and politician; key factor in the American Revolution","39,561","412 sq mi (1,067 km2)",""
"Fulton County","057","Lewistown","1823","Pike County","Robert Fulton (1765â\u0080\u00931815), inventor of the steamboat","37,069","866 sq mi (2,243 km2)",""
"Gallatin County","059","Shawneetown","1812","Randolph County","Albert Gallatin (1761â\u0080\u00931849), fourth and longest-serving United States Secretary of the Treasury","5,589","324 sq mi (839 km2)",""
"Greene County","061","Carrollton","1821","Madison County","Nathanael Greene (1742â\u0080\u009386), major general in the Continental Army","13,886","543 sq mi (1,406 km2)",""
"Grundy County","063","Morris","1841","LaSalle County","Felix Grundy (1777â\u0080\u00931840), Tennessean senator that served as the thirteenth United States Attorney General","50,063","420 sq mi (1,088 km2)",""
"Hamilton County","065","McLeansboro","1821","White County","Alexander Hamilton (1755â\u0080\u00931804), first United States Secretary of the Treasury","8,457","435 sq mi (1,127 km2)",""
"Hancock County","067","Carthage","1825","Adams County","John Hancock (1737â\u0080\u009393), first governor of the Massachusetts colony and president of the Second Continental Congress","19,104","795 sq mi (2,059 km2)",""
"Hardin County","069","Elizabethtown","1839","Pope County","Hardin County, Kentucky, which was itself named after John Hardin","4,320","178 sq mi (461 km2)",""
"Henderson County","071","Oquawka","1841","Warren County","Henderson County, Kentucky, which was itself named after Richard Henderson","7,331","379 sq mi (982 km2)",""
"Henry County","073","Cambridge","1825","Fulton County","Patrick Henry (1736-99), American Revolutionary War figure and first and sixth Governor of Virginia","50,486","823 sq mi (2,132 km2)",""
"Iroquois County","075","Watseka","1833","Vermilion County","Iroquois Native Americans","29,718","1,116 sq mi (2,890 km2)",""
"Jackson County","077","Murphysboro","1816","Randolph County and Johnson County","Andrew Jackson (1767-1845), seventh President of the United States, United States Senator from Tennessee, and general in the War of 1812","60,218","588 sq mi (1,523 km2)",""
"Jasper County","079","Newton","1831","Clay and Crawford County","Sgt. William Jasper (c. 1750-79), American Revolutionary War soldier popularized by Parson Weems","9,698","494 sq mi (1,279 km2)",""
"Jefferson County","081","Mount Vernon","1819","Edwards and White County","Thomas Jefferson (1743-1826), third President of the United States, second Vice President of the United States, Governor of Virginia, and one of the foremost Founding Fathers of the United States","38,827","571 sq mi (1,479 km2)",""
"Jersey County","083","Jerseyville","1839","Greene County","State of New Jersey, from which many early settlers hailed","22,985","369 sq mi (956 km2)",""
"Jo Daviess County","085","Galena","1827","Henry, Mercer, and Putnam County","Joseph Hamilton Daveiss (1774-1811), commander of the Indiana Dragoons at the Battle of Tippecanoe","22,678","601 sq mi (1,557 km2)",""
"Johnson County","087","Vienna","1812","Randolph County","Richard Mentor Johnson (abt. 1780-1850), ninth Vice President of the United States and United States Senator form Kentucky","12,582","346 sq mi (896 km2)",""
"Kane County","089","Geneva","1836","LaSalle County","Elias Kane (1794-1835), United States Senator from Illinois","515,269","521 sq mi (1,349 km2)",""
"Kankakee County","091","Kankakee","1853","Iroquois and Will County","Kankakee River","113,449","678 sq mi (1,756 km2)",""
"Kendall County","093","Yorkville","1841","LaSalle and Kane County","Amos Kendall (1789-1869), United States Postmaster General under Presidents Andrew Jackson and Martin Van Buren","114,736","321 sq mi (831 km2)",""
"Knox County","095","Galesburg","1825","Fulton County","Gen. Henry Knox (1750-1806), American Revolutionary War general and first United States Secretary of War","52,919","716 sq mi (1,854 km2)",""
"Lake County","097","Waukegan","1839","McHenry County","Lake Michigan","703,462","448 sq mi (1,160 km2)",""
"LaSalle County","099","Ottawa","1831","Putnam and Tazewell County","Sieur de la Salle (1643-87), French explorer of the Great Lakes.","113,924","1,135 sq mi (2,940 km2)",""
"Lawrence County","101","Lawrenceville","1821","Crawford and Edwards County","Capt. James Lawrence (1781-1813), commander of the USS Chesapeake in the War of 1812. Famous for his command \"Don't give up the ship!\"","16,833","372 sq mi (963 km2)",""
"Lee County","103","Dixon","1839","Ogle County","\"Light Horse\" Henry Lee III (1756-1818), American Revolutionary War officer and ninth Governor of Virginia","36,031","725 sq mi (1,878 km2)",""
"Livingston County","105","Pontiac","1837","LaSalle and McLean County","Edward Livingston (1764-1836), prominent jurist, Congressman from New York and Louisiana, and U.S. Secretary of State from 1831-33.","38,950","1,044 sq mi (2,704 km2)",""
"Logan County","107","Lincoln","1839","Sangamon County","John Logan, a country doctor and early settler, and the father of John A. Logan.","30,305","618 sq mi (1,601 km2)",""
"Macon County","115","Decatur","1829","Shelby County","Nathaniel Macon (1758-1837), sixth Speaker of the United States House of Representatives and United States Senator from North Carolina.","110,768","581 sq mi (1,505 km2)",""
"Macoupin County","117","Carlinville","1829","Greene County","Native American word Macoupin, meaning American lotus","47,765","864 sq mi (2,238 km2)",""
"Madison County","119","Edwardsville","1812","St. Clair County and Randolph County","James Madison (1751-1836), fourth President of the United States and principal author of the Constitution of the United States.","269,282","725 sq mi (1,878 km2)",""
"Marion County","121","Salem","1823","Fayette and Jefferson County","Francis Marion (c. 1732-95), general in the American Revolutionary War known as \"The Swamp Fox\"","39,437","572 sq mi (1,481 km2)",""
"Marshall County","123","Lacon","1839","Putnam County","John Marshall (1755-1835), fourth and longest-serving Chief Justice of the United States, wrote opinion in Marbury v. Madison establishing the principle of judicial review","12,640","386 sq mi (1,000 km2)",""
"Mason County","125","Havana","1841","Tazewell and Menard County","Named after Mason County, Kentucky, itself named after George Mason","14,666","539 sq mi (1,396 km2)",""
"Massac County","127","Metropolis","1843","Pope and Johnson County","Fort Massac, a colonial-era fort on the Ohio River","15,429","239 sq mi (619 km2)",""
"McDonough County","109","Macomb","1826","Schuyler County","Commodore Thomas Macdonough (1783-1825), commander of American naval forces at the Battle of Plattsburgh","32,612","589 sq mi (1,526 km2)",""
"McHenry County","111","Woodstock","1836","Cook and LaSalle County","Major William McHenry (c. 1771-1835), officer in during several campaigns against Native Americans and member of the Illinois legislature","308,760","604 sq mi (1,564 km2)",""
"McLean County","113","Bloomington","1830","Tazewell County","John McLean (1791-1830), United States Representative and United States Senator from Illinois (the latter from 1824-25 and 1829-30)","169,572","1,184 sq mi (3,067 km2)",""
"Menard County","129","Petersburg","1839","Sangamon County","Pierre Menard (1766-1844), prominent early settler and first Lieutenant Governor of Illinois","12,705","314 sq mi (813 km2)",""
"Mercer County","131","Aledo","1825","Schuyler County","Hugh Mercer (1726-77), British officer in the Seven Years' War and general in the Continental Army during the American Revolutionary War","16,434","561 sq mi (1,453 km2)",""
"Monroe County","133","Waterloo","1816","Randolph County and St. Clair County","James Monroe (1758-1831), seventh United States Secretary of State, eighth United States Secretary of War, Governor of Virginia, and fifth President of the United States","32,957","388 sq mi (1,005 km2)",""
"Montgomery County","135","Hillsboro","1821","Bond and Madison County","Gen. Richard Montgomery (1738-75), brigadier-general in the Continental Army who led the unsuccessful invasion of Canada","30,104","704 sq mi (1,823 km2)",""
"Morgan County","137","Jacksonville","1823","Sangamon County","Gen. Daniel Morgan (1736-1802), successful tactician in the American Revolutionary War and later United States Representative from Virginia","35,547","569 sq mi (1,474 km2)",""
"Moultrie County","139","Sullivan","1843","Shelby and Macon County","Gen. William Moultrie (1730-1805), American Revolutionary War general and Governor of South Carolina","14,846","336 sq mi (870 km2)",""
"Ogle County","141","Oregon","1836","Jo Daviess","Joseph Ogle (1737-1821), early settler in southwest Illinois, who helped found the first Methodist church in Illinois","53,497","759 sq mi (1,966 km2)",""
"Peoria County","143","Peoria","1825","Fulton County","The Peoria Native American tribe","186,494","620 sq mi (1,606 km2)",""
