"Species","variety","Base Pairs","Genes","Reference","Family","Notes"
"Adiantum capillus-veneris","","150,568","","[7]","Pteridaceae"
"Alsophila spinulosa","","156,661","117","[8]","Cyatheaceae"
"Angiopteris evecta","","153,901","","[9]","Marattiaceae"
"Equisetum arvense","","133,309","","","Equisetaceae"
"Huperzia lucidula","","154,373","","[10]","Lycopodiaceae"
"Isoetes flaccida","","145,303","","","Isoetaceae"
"Psilotum nudum","","138,829","117","[11]","Psilotaceae"
"Selaginella moellendorffii","","","","","Selaginellaceae"
"Selaginella uncinata","","138,829","","[12]","Selaginellaceae"

