"Period","Manufacturer","Shirt Sponsor"
"1989â\u0080\u009390","Schwarzenbach","Dunhill"
"1991","Puma","Dunhill"
"1992â\u0080\u009398","Diadora","Dunhill"
"1999â\u0080\u009300","Mikasa","Dunhill"
"2001â\u0080\u009303","Kronos","Dunhill"
"2004â\u0080\u009305","Adidas","Dunhill"
"2006â\u0080\u009307","Adidas","TM"
"2008","Hummel","TM"
"2009","Lotto","TM"
"2010","Lotto","the ZON hotel"
"2011â\u0080\u009312","Lotto","Resorts World Genting"
"2013","Stobi","Resorts World Genting"
"2014â\u0080\u00932016","Puma","Aras Kuasa"

