"Common name","Scientific name","Status","Notes","Distribution"
"Eastern pipistrelle","Pipistrellus subflavus","Uncommon","","Statewide"
"Big brown bat","Eptesicus fuscus","Common","","Statewide"
"Evening bat","Nycticeius humeralis","Rare","","Southeastern"
"Red bat","Lasiurus borealis","Uncommon","","Statewide"
"Seminole bat","Lasiurus seminolus","Rare","","Piedmont"
"Hoary bat","Lasiurus cinereus","Uncommon","","Statewide"
"Keen's myotis","Myotis keenii","Rare","","Statewide"
"Small-footed myotis","Myotis leibii","Threatened locally","","Statewide"
"Northern long-eared bat","Myotis septentrionalis","","","Statewide"
"Little brown myotis","Myotis lucifugus","Common","","Statewide"
"Indiana bat","Myotis sodalis","Endangered","","Central"
"Silver-haired bat","Lasionycteris noctivagans","Uncommon","","Statewide"

