"","Lisa&apos;s Riva l","Mark Kirkland","","",""
"","Bart of Darkness","Jim Reardon","","",""
"","Another Simpsons Clip Show","David Silverman","","",""
"","Itchy &amp; amp Scratchy Land","Wes Archer","","",""
"","Sideshow Bob Roberts","Mark Kirkland","","",""
"","Treehouse of Horror V","Jim Reardon","","",""
"","Bart&apos;s Girlfriend","Susie Dietter","","",""
"","Lisa on Ice","Bob Anderson","","",""
"","Homer : Bad Man","Jeff Lynch","","",""
"","Grampa vs . Sexual Inadequacy","Wes Archer","","",""
"","Fear of Flying","Mark Kirkland","","",""
"","Homer the Great","Jim Reardon","","",""
"","And Maggie Makes Three","Swinton O . Scott III","","",""
"","Bart&apos;s Comet","Bob Anderson","","",""
"","Homie the Clown","David Silverman","","",""
"","Bart vs . Australia","","","",""
"","Homer vs . Patty &amp; amp Selma","Mark Kirkland","","",""
"","A Star is Burns","Susie Dietter","","",""
"","Lisa&apos;s Wedding","Jeff Reardon","","",""
"","Two Dozen and One Greyhounds","Bob Anderson","","",""
"","The PTA Disbands","Swinton O . Scott III","","",""
"","&apos;Round Springfield","Dean Moore","","",""
"","The Springfield Connection","Mark Kirkland","","",""
"","Lemon of Troy","Jim Reardon","","",""
"","Who Shot Mr . Burns ? ( Part One","Jeffrey Lynch","","",""

