"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"Worf&apos;s First Adventure","","1993"
"New Frontier","","1997"
"The Next Generation","","1998"
"Triangle","","1998"
"","",""
"Once Burned : The Captain&apos;s Table","","1998"
"","",""
"Double Helix : Double or Nothing","",""
"","",""
"","",""
"Triangle : Imzadi II (","","1999"
"","",""
"The Next Generation","","2000"
"","",""
"Renaissance","","2000"
"Requiem : Excalibur , Book 1","","2000"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","Peter David",""
"","",""
"","",""
"Stone And Anvil","","2004"
"After the Fall","","2004"
"","",""
"","",""
"","",""
"","",""
"","",""
"After the Fall","","2005"
"Missing in Action","","2005"
"","",""

