"Wilson&apos;s Snipe","Gallinago delicata",""
"South American Snipe","Gallinago paraguaiae","Trinidad only"
"Short - billed Dowitcher","Limnodromus griseus",""
"Hudsonian Godwit","Limosa haemastica","Trinidad only"
"Marbled Godwit","Limosa fedoa","Rare / Accidental"
"Eskimo Curlew","Numenius borealis","Rare / Accidental , Critically endangered ( possibly extinct"
"Whimbrel","Numenius phaeopus",""
"Long - billed Curlew","Numenius americanus","Trinidad only Rare / Accidental , Near - threatened"
"Upland Sandpiper","Bartramia longicauda",""
"Spotted Redshank","Tringa erythropus","Tobago only Rare / Accidental"
"Common Greenshank","Tringa nebularia","Rare / Accidental"
"Greater Yellowlegs","Tringa melanoleuca",""
"Lesser Yellowlegs","Tringa flavipes",""
"Solitary Sandpiper","Tringa solitaria",""
"Spotted Sandpiper","Actitis macularia",""
"Willet","Catoptrophorus semipalmatus",""
"Ruddy Turnstone","Arenaria interpres",""
"Red Knot","Calidris canutus","Trinidad only"
"Sanderling","Calidris alba","Trinidad only"
"Semipalmated Sandpiper","Calidris pusilla",""
"Western Sandpiper","Calidris mauri",""
"Least Sandpiper","Calidris minutilla",""
"White - rumped Sandpiper","Calidris fuscicollis",""
"Baird&apos;s Sandpiper","Calidris bairdii","Trinidad only Rare / Accidental"
"Pectoral Sandpiper","Calidris melanotos",""
"Stilt Sandpiper","Calidris himantopus",""
"Buff - breasted Sandpiper","Tryngites subruficollis","Near - threatened"
"Ruff","Philomachus pugnax","Rare / Accidental"

