"Algoma University College","Ste . Marie","","",""
"Assumption University","Windsor","","",""
"Brescia College","London","","",""
"Brock University","St . Catharines","","",""
"Carleton University","Ottawa","","",""
"Erindale College","Mississauga","","",""
"Huron College","London","","",""
"King&apos;s College","London","","",""
"Lakehead University","Thunder Bay","","",""
"Laurentian University","Sudburry","","",""
"McMaster University","Hamilton","","",""
"Nipissing University","North Bay","","",""
"Ontario College of Art and Design","Toronto","","",""
"Ontario Institute for Studies in Education","Toronto","","",""
"Queen&apos;s University","Kingston","","",""
"Redeemer College","Ancaster","","",""
"Renison College","Waterloo","","",""
"Royal Military College of Canada","Kingston","","",""
"Ryerson Polytechnic University","Toronto","","",""
"St . Jerome&apos;s College","Waterloo","","",""
"St . Paul&apos;s United College","Waterloo","","",""
"Trent University","Peterborough","","",""
"Trinity College","Toronto","","",""
"University of Guelph","Guelph","","",""
"University of Ottawa","Ottawa","","",""
"Universite Saint - Paul","Ottawa","","",""
"U of T at Scarborough","Scarborough","","",""
"University of Toronto","Toronto","","",""
"University of Waterloo","Waterloo","","",""
"University of Western Ontario","London","","",""
"University of Windsor","Windsor","","",""
"Victoria University","Toronto","","",""
"Wilfrid Laurier University","Waterloo","","",""
"York University","Downsview","","",""

