"Foot","pes","","29 . 6 cm"
"Natural foot","pes naturalis","","25 cm"
"Digit","digitus","1 / 16",""
"Inch","uncia","1 / 12","2 . 47 cm"
"Palm","palmus","1 / 4",""
"Hand","palmus major","3 / 4",""
"Palm and foot","palmipes","",""
"Forearm","cubitus","","44 . 4 cm"
"","braccio Fiorentino","55 / 28",""
"Step","gradus","",""
"Double pace","passus","5",""
"","canne Romana","",""
"Perch","pertica decempida","10",""
"Chain or furrow","actus","120",""
"stadion","stadium","","185 m"
"Mile","mille passus","","1480 m"
"league","1 . 5 milia passuum","",""
"","schoenus","",""

