"George Bush","","College Station , TX",""
"Jimmy Carter","","Atlanta , GA",""
"Dwight D . Eisenhower","","Abilene , KS",""
"Gerald Ford","","Ann Arbor , MI",""
"Rutherford B . Hayes","","Fremont , OH",""
"Herbert Hoover","","West Branch , IA",""
"Lyndon B . Johnson","","Austin , TX",""
"John F . Kennedy","","Boston , MA",""
"Richard Nixon","","Yorba Linda , CA",""
"Ronald Reagan","","Simi Valley , CA",""
"Franklin D . Roosevelt","","Hyde Park , NY",""
"Harry S . Truman","","Independence , MO",""

