"","Recovery","Troy Denning",""
"","Star by Star","Troy Denning",""
"","Dark Journey","Elaine Cunningham",""
"","Enemy Lines I : Rebel Dream","Aaron Allston",""
"","Enemy Lines II : Rebel Stand","Aaron Allston",""
"","Traitor","Matthew Stover",""
"","DestinyÃ¢ÂÂs Way","Walter Jon Williams",""
"","Ylesia","Walter Jon Williams",""
"","Force Heretic I : Remnant","Sean Williams and Shane Dix",""
"","Force Heretic II : Refugee","Sean Williams and Shane Dix",""
"","Force Heretic III : Reunion","Sean Williams and Shane Dix",""
"","The Final Prophecy","Greg Keyes",""
"","The Unifying Force","James Luceno",""
"","Coruscant and the Core Worlds","Craig Robert Carey , Paul Sudlow , Jason Fry , Daniel Wallace",""
"","The New Essential Guide to Characters","Dan Wallace",""
"","The New Essential Guide to Vehicles and Vessels","Hayden Blackman",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""

