"1999","Vector Prime","",""
"2000","Dark Tide : Onslaught","",""
"2000","Dark Tide : Ruin","",""
"2000","Agents of Chaos : Hero&apos;s Trial","",""
"2000","Agents of Chaos : Jedi Eclipse","",""
"2000","Balance Point","",""
"2001","Recovery","","e - book"
"2001","Edge of Victory : Conquest","",""
"2001","Edge of Victory : Rebirth","",""
"","Emissaries of the Void","","short story"
"2001","Star by Star","",""
"2002","Dark Journey","",""
"2002","The Apprentice","","short story"
"2002","Enemy Lines : Rebel Dream","",""
"2002","Enemy Lines : Rebel Stand","",""
"2002","Traitor","",""
"2002","Destiny&apos;s Way","",""
"2002","Ylesia","","e - book"
"2003","Force Heretic : Remnant","",""
"2003","Force Heretic : Refugee","",""
"2003","Force Heretic : Reunion","",""
"2003","The Final Prophecy","",""
"2003","The Unifying Force","",""

