"President of the People&apos;s Republic of China , General Secretary of the CPC , Chairman of the Central Military Commission .","Hu Jintao","","",""
"Chairman of the Standing Committee of the National People&apos;s Congress","Wu Bangguo","","",""
"Premier of the State Council of the People&apos;s Republic of China","Wen Jiabao","","",""
"Chairman of the People&apos;s Political Consultative Conference","Jia Qinglin","","",""
"Vice - President of the People&apos;s Republic of China","Zeng Qinghong","","",""
"Premier , State Council of China","Huang Ju","","",""
"Secretary of the Central Commission for Discipline Inspection","Wu Guanzheng","","",""
"no other positions held , known to many as the propaganda chief","Li Changchun","","",""
"State Councilor , Political and Legislative Affairs Committee secretary","Luo Gan","","",""

