"One Flew Over the Cuckoo&apos;s Nest","1975","Martini",""
"Throw Momma from the Train","1987","Owen Lift",""
"Tin Men","1987","Ernest Tilley",""
"Twins","1988","Vincent Benedict",""
"Batman Returns","1992","The Penguin",""
"Hoffa","1992","",""
"Reality Bites","1994","",""
"Pulp Fiction","1994","",""
"Renaissance Man","1994","Bill Rago",""
"Get Shorty","1995","Martin Weir",""
"Mars Attacks","1996","Rude Gambler",""
"Matilda","1996","Harry Wormwood",""
"L . A . Confidential","1997","Sid Hudgens",""
"Man On The Moon","1999","George Shapiro",""
"The Virgin Suicides","1999","Dr Hornicker",""
"Erin Brockovich","2000","",""
"Screwed","2000","Grover Cleaver",""
"Austin Powers in Goldmember","2002","",""
"","","",""

