"Inscrutabili Dei Consilio","","On the Evils of Society","21 Apr 1878"
"Apostolic Muneris","","On the Evils of Socialism","28 Dec 1878"
"Aeterni Patris","On","Restoring Christian Philosophy","4 Aug 1879"
"Grande Munus","","On Saints Cyril and Methodius","10 Feb 1880"
"Sancta Dei Civitas","","On Mission Societies","3 Dec 1880"
"Diuturnum","","On the Origin of Civil Power","29 Jun 1881"
"Licet Multa","","On Catholics in Belgium","3 Aug 1881"
"Etsi Nos","","On Conditions in Italy","15 Feb 1882"
"Auspicato Concessum","","On St . Francis of Assisi","17 Sep 1882"
"Cum Multa","","On Conditions in Spain","8 Dec 1882"
"Supremi Apostolatus Officio","","On Devotion of the Rosary","1 Sep 1883"
"Nobilissima Gallorum Gens","","On the Religious Question in France","8 Feb 1884"
"Humanum Genus","","On Freemasonry","20 Mar 1884"
"Superiore Anno","","On the Rosary","30 Aug 1884"
"Immortale Dei","","On the Christian Constitution of States","1 Nov 1885"
"Spectata Fides","","On Christian Education","27 Nov 1885"
"Quod Auctoritate","","Proclaiming the Extraordinary Jubilee","22 Dec 1885"
"Iampridem","","On Catholicism in Germany","6 Jan 1886"
"Quod Multum","","On the Liberty of the Church","22 Aug 1886"
"Pergrata","","On the Church in Portugal","14 Sep 1886"
"Vi E Ben Noto","","On the Rosary and Public Life","20 Sep 1887"
"Officio Sanctissimo","","On the Church in Bavaria","22 Dec 1887"
"Quod Anniversarius","","the Occasion of the Sacerdotal Jubilee of Leo","11 Apr 1888"
"In Plurimism","","On the Abolition of Slavery","5 May 1888"
"Libertas","","On the Nature of Human Liberty","20 Jun 1888"
"Saepe Nos","","On Boycotting in Ireland","24 Jun 1888"
"Quam Aerumnosa","","On Italian Immigrants","10 Dec 1888"
"Etsi Cunctas","","On the Church in Ireland","21 Dec 1888"
"Exeunte Lam Anno","","On the Right Ordering of Christian Life","25 Dec 1888"
"Magni Nobis","","On the Catholic University of America","7 Mar 1889"
"Quamquam Pluries","","On Devotion to St . Joseph","15 Aug 1889"
"Sapientiae Christian","","On Christians as Citizens","10 Jan 1890"
"Dall&apos;alto Dell&apos;apostolico Seggio","","On Freemasonry in Italy","15 Oct 1890"
"Catholicae Ecclesiae","","On Slavery in the Missions","20 Nov 1890"
"In Ipso","","On Episcopal Reunions in Austria","3 Mar 1891"
"","","",""
"Pastoralis Officii","","On the Morality of Dueling","12 Sep 1891"
"Octobri Mense","","On the Rosary","22 Sep 1891"
"Au Millieu Des Sollicitudes","","On the Church and State in France","16 Feb 1892"
"Quarto Abeunte Saeculo","","On the Columbus Quadricentennial","16 Jul 1892"
"Magnae Dei Matris","","On the Rosary","8 Sep 1892"
"Custodi Di Quella Fede","","On Freemasonry","8 Dec 1892"
"Arcanum","","On Christian Marriage","10 Feb 1893"
"Ad Extremas","","Seminaries for Native Clergy","24 Jun 1893"
"Constanti Hungarorum","","On the Church in Hungary","2 Sep 1893"
"Laetitiae Sanctae","","On the Rosary","8 Sep 1893"
"Providentissimus Deus","","On the Study of Sacred Scripture","18 Nov 1893"
"Jucunda Semper","","On the Rosary","8 Sep 1894"
"Litteras A Vobis","","On the Clergy in Brazil","2 Jul 1894"
"Christi Nomen","","On the Propagation of Faith and Eastern Churches","24 Dec 1894"

