"Bow Valley College","Calgary","",""
"Grande Prairie Regional College","Grande Prairie","",""
"Grant MacEwan Community College","Edmonton","",""
"Keyano College","Fort McMurray","",""
"Lakeland College","Vermillion","",""
"Lethbridge Community College","Lethbridge","",""
"Medicine Hat College","Medicine Hat","",""
"Mount Royal College","Calgary","",""
"NorQuest College","Edmonton","",""
"Northern Lakes College","Slave Lake","",""
"Olds College","Olds","",""
"Portage College","Lac La Biche","",""
"Red Deer College","Red Deer","",""

