"","Cape Feare ( Sideshow Bob Returns )","Rich Moore","","",""
"","Rosebud","Wes Archer","","",""
"","Homer Goes to College","Jim Reardon","","",""
"","Marge on the Lam","Mark Kirkland","","",""
"","Treehouse of Horror IV","David &quot;Dry Bones&quot; Silverman","","",""
"","Bart&apos;s Inner Child","Bob Anderson","","",""
"","Boy - Scoutz &apos;N The Hood","Jeffrey Lynch","","",""
"","The Last Temptation of Homer","Carlos Baeza","","",""
"","$pringfield","Wes Archer","","",""
"","Homer the Vigilante","Jim Reardon","","",""
"","Homer and Apu","Mark Kirkland","","",""
"","Bart Gets Famous","Susie Dietter","","",""
"","Lisa vs . Malibu Stacy","Jeff Lynch","","",""
"","Deep Space Homer","Carlos Baeza","","",""
"","Homer Loves Flanders","Wes Archer","","",""
"","Bart Gets an Elephant","Jim Reardon","","",""
"","Burns&apos;s Heir","Mark Kirkland","","",""
"","Sweet Seymour Skinner&apos;s Bad - ass Song","Bob Anderson","","",""
"","The Boy Who Knew Too Much","Jeffrey Lynch","","",""
"","Secrets of a Successful Marriage","Carlos Baeza","","",""
"","Lady Bouvier&apos;s Lover","Wes Archer","","",""

