"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","Rosebud","","","1993","1F01"
"","Homer the Vigilante","","","1994","1F09"
"","Bart Gets Famous","","","1994","1F11"
"","Bart Gets an Elephant","","","1994","1F15"
"","The Boy Who Knew Too Much","","","1994","1F19"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""

