"Assateague State Park","Worcester County","","",""
"Big Run State Park","Garrett County","","",""
"Cunningham Falls State Park","Frederick County","","",""
"Deep Creek State Park","Garrett County","","",""
"Elk Neck State Park","Cecil County","","",""
"Fort Frederick State Park","Washington County","","",""
"Gambrill State Park","Frederick County","","",""
"Greenbrier State Park","Frederick County","","",""
"Herrington Manor State Park","Garrett County","","",""
"Janes Island State Park","Somerset County","","",""
"Martinak State Park","Caroline county","","",""
"New Germany State Park","Garrett County","","",""
"Patapsco Valley State Park","Baltimore and Howard Counties","","",""
"Pocomoke State Park","Worcester County","","",""
"Point Lookout State Park","","","",""
"Rocky Gap State Park","Allegany County","","",""
"Smallwood State Park","Charles County","","",""
"Susquehanna State Park","Harford County","","",""
"Swallow Falls State Park","Garrett County","","",""
"Tuckahoe State Park","Queen Anne&apos;s County","","",""

