"","Vector Prime","R . A . Salvatore",""
"","Dark Tide I : Onslaught","Michael Stackpole",""
"","Dark Tide II : Ruin","Michael Stackpole",""
"","Agents of Chaos : Hero&apos;s Trial","James Luceno",""
"","Agents of Chaos II : Jedi Eclipse","James Luceno",""
"","Balance Point","Kathy Tyers",""
"","Edge of Victory I : Conquest","Gregory Keyes",""
"","Edge of Victory II : Rebirth","Gregory Keyes",""
"","Star by Star","Troy Denning",""
"","Dark Journey","Elaine Cunningham",""
"","Enemy Lines I : Rebel Dream","Aaron Allston",""
"","Enemy Lines II : Rebel Stand","Aaron Allston",""
"","Traitor","Matthew Stover",""
"","Destiny&apos;s Way","Walter Jon Williams",""
"","Force Heretic I : Remnant","Sean Williams and Shane Dix",""
"","Force Heretic II : Refugee","Sean Williams and Shane Dix",""
"","Force Heretic III : Reunion","Sean Williams and Shane Dix",""

