"All Souls College","1438","Website",""
"Balliol College","1263","Website",""
"","","",""
"Brasenose College","1509","Website",""
"","","",""
"Christ Church","1546","Website",""
"Corpus Christi College","1517","Website",""
"Exeter College","1314","Website",""
"Green College","1979","Website",""
"","","",""
"Harris Manchester College","1889","Website",""
"Hertford College","1740","Website",""
"Jesus College","1571","Website",""
"Keble College","1870","Website",""
"Kellogg College","1990","Website",""
"Lady Margaret Hall","1878","Website",""
"Linacre College","1962","Website",""
"Lincoln College","1427","Website",""
"Magdalen College","1458","Website",""
"Mansfield College","1886","Website",""
"Merton College","1264","Website",""
"New College","1379","Website",""
"Nuffield College","1958","Website",""
"Oriel College","1326","Website",""
"Pembroke College","1624","Website",""
"The Queen&apos;s College","1341","Website",""
"","","",""
"St Anne&apos;s College","1878","Website",""
"St Antony&apos;s College","1953","Website",""
"","","",""
"St Catherine&apos;s College","1963","Website",""
"St Cross College","1965","Website",""
"St Edmund Hall","","Website",""
"St Hilda&apos;s College","1893","Website",""
"St Hugh&apos;s College","1886","Website",""
"St John&apos;s College","1555","Website",""
"St Peter&apos;s College","1961","Website",""
"Somerville College","1879","Website",""
"Templeton College","1995","Website",""
"Trinity College","1554","Website",""
"University College","1249","Website",""
"Wadham College","1610","Website",""
"Wolfson College","1981","Website",""
"Worcester College","1714","Website",""
"","","",""

