"1999","Vector Prime","",""
"2000","Dark Tide I : Onslaught","",""
"2000","Dark Tide II : Ruin","",""
"2000","Agents of Chaos I","",""
"2000","Agents of Chaos II","Jedi Eclipse",""
"2000","Balance Point","",""
"2001","Recovery","",""
"2001","Edge of Victory I : Conquest","",""
"2001","Edge of Victory II : Rebirth","",""
"","Emissaries of the Void","",""
"2001","Star by Star","",""
"2002","Dark Journey","",""
"2002","The Apprentice","","short story"
"2002","Enemy Lines I : Rebel Dream","",""
"2002","Enemy Lines II : Rebel Stand","",""
"2002","Traitor","",""
"2002","Destiny&apos;s Way","",""
"2002","Ylesia","",""
"2003","Force Heretic I : Remnant","",""
"2003","Force Heretic II : Refugee","",""
"2003","Force Heretic III : Reunion","",""
"2003","The Final Prophecy","",""
"2003","The Unifying Force","",""

