"1999","Vector Prime","R . A . Salvatore",""
"2000","Dark Tide I : Onslaught","Michael Stackpole",""
"","Dark Tide : Siege","Michael Stackpole",""
"2000","Dark Tide II : Ruin","Michael Stackpole",""
"2000","Agents of Chaos : Hero&apos;s Trial","James Luceno",""
"2000","Agents of Chaos : Jedi Eclipse","James Luceno",""
"","Knightfall I : Jedi Storm","Michael Jan Friedman",""
"","Knightfall II : Jedi Blood","Michael Jan Friedman",""
"","Knightfall III : Jedi Fire","Michael Jan Friedman",""
"2000","Balance Point","Kathy Tyers",""
"2000","Recovery","Troy Denning",""
"2001","Edge of Victory : Conquest","Greg Keys",""
"2001","Edge of Victory : Rebirth","Greg Keys",""
"","Emissaries of the Void","Keyes",""
"2001","Star by Star","Troy Denning",""
"","Red Sky , Blue Flame","Cunningham",""
"2002","Dark Journey","Elaine Cunningham",""
"","The Apprentice","Elaine Cunningham",""
"2002","Enemy Lines : Rebel Dream","Aaron Allston",""
"2002","Enemy Lines : Rebel Stand","Aaron Allston",""
"2002","Traitor","Matthew Stover",""
"2002","Destiny&apos;s Way","Jon Williams",""
"2002","Ylesia","Jon Williams",""
"2003","Force Heretic : Remnant","Sean Williams &amp; Shane Dix",""
"2003","Force Heretic : Refugee","Sean Williams &amp; Shane Dix",""
"2003","Force Heretic : Reunion","Sean Williams &amp; Shane Dix",""
"2003","The Final Prophecy","Greg Keys",""
"2003","The Unifying Force","James Luceno",""

