"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"Be Cool","2005","",""
"","","",""
"","","",""
"","","",""
"","","",""
"Camp","2003","",""
"","","",""
"","","",""
"How High","2001","",""
"","","",""
"","","",""
"","","",""
"Erin Brockovich","2000","",""
"Drowning Mona","2000","",""
"","","",""
"Living Out Loud","1998","",""
"","","",""
"","","",""
"Gattaca","1997","",""
"","","",""
"Matilda","1996","",""
"","","",""
"Get Shorty","1995","",""
"Pulp Fiction","1994","",""
"","","",""
"Reality Bites","1994","",""
"Hoffa","1992","",""

