"Big Fish","2003","",""
"","","",""
"Death to Smoochy","2002","",""
"","","",""
"Screwed","2000","",""
"Man on the Moon","1999","",""
"The Big Kahuna","1999","",""
"The Virgin Suicides","1999","",""
"Living Out Loud","1998","",""
"L . A . Confidential","1997","",""
"The Rainmaker","1997","",""
"Mars Attacks","1996","",""
"Matilda","1996","",""
"Get Shorty","1995","",""
"Junior","1994","",""
"Hoffa","1992","",""
"Batman Returns","1992","",""
"The War of the Roses","1989","",""
"Twins","1988","",""
"Tin Men","1987","",""
"The Jewel of the Nile","1985","",""
"Romancing the Stone","1984","",""
"Terms of Endearment","1983","",""
"","","",""

