"Common Greenshank","Tringa nebularia",""
"Greater Yellowlegs","Tringa melanoleuca",""
"Lesser Yellowlegs","Tringa flavipes",""
"","",""
"","",""
"Spotted Redshank","Tringa erythropus",""
"Wood Sandpiper","Tringa glareola",""
"Green Sandpiper","Tringa ochropus ( Accidental",""
"Solitary Sandpiper","Tringa solitaria",""
"Willet","Catoptrophorus semipalmatus",""
"Tattler","Heteroscelus incanus",""
"Gray - tailed Tattler","Heteroscelus brevipes",""
"Common Sandpiper","Actitis hypoleucos",""
"Spotted Sandpiper","Actitis macularia",""
"Terek Sandpiper","Xenus cinereus",""
"Upland Sandpiper","Bartramia longicauda",""
"Little Curlew","Numenius minutus ( Accidental",""
"Eskimo Curlew","Numenius borealis","Extinct"
"Whimbrel","Numenius phaeopus",""
"Bristle - thighed Curlew","Numenius tahitiensis",""
"Far Eastern Curlew","Numenius madagascariensis",""
"Slender - billed Curlew","Numenius tenuirostris ( Accidental",""
"Eurasian Curlew","Numenius arquata ( Accidental",""
"Long - billed Curlew","Numenius americanus",""
"Black - tailed Godwit","Limosa limosa",""
"Hudsonian Godwit","Limosa haemastica",""
"Bar - tailed Godwit","Limosa lapponica",""
"Marbled Godwit","Limosa fedoa",""
"Ruddy Turnstone","Arenaria interpres",""
"Black Turnstone","Arenaria melanocephala",""
"","",""
"Great Knot","Calidris tenuirostris ( Accidental",""
"Red Knot","Calidris canutus",""
"Sanderling","Calidris alba",""
"Semipalmated Sandpiper","Calidris pusilla",""
"Western Sandpiper","Calidris mauri",""
"","",""
"","",""
"","",""
"","",""
"Least Sandpiper","Calidris minutilla",""
"White - rumped Sandpiper","Calidris fuscicollis",""
"Baird&apos;s Sandpiper","Calidris bairdii",""
"Pectoral Sandpiper","Calidris melanotos",""
"Sharp - tailed Sandpiper","Calidris acuminata",""
"Purple Sandpiper","Calidris maritima",""
"Rock Sandpiper","Calidris ptilocnemis",""
"","",""
"Curlew Sandpiper","Calidris ferruginea",""
"Stilt Sandpiper","Calidris himantopus",""
"Spoonbill Sandpiper","Eurynorhynchus pygmeus",""
"Broad - billed Sandpiper","Limicola falcinellus",""
"Buff - breasted Sandpiper","Tryngites subruficollis",""
"Ruff","Philomachus pugnax",""
"Short - billed Dowitcher","Limnodromus griseus",""
"Long - billed Dowitcher","Limnodromus scolopaceus",""
"Jack Snipe","Lymnocryptes minimus",""
"Wilson&apos;s Snipe","Gallinago delicata",""
"Common Snipe","Gallinago gallinago",""
"Pin - tailed Snipe","Gallinago stenura",""
"Eurasian Woodcock","Scolopax rusticola",""
"American Woodcock","Scolopax minor",""
"Wilson&apos;s Phalarope","Phalaropus tricolor",""
"Red - necked Phalarope","Phalaropus lobatus",""
"Red Phalarope","Phalaropus fulicarius",""

