"","","",""
"","Herbert Hoover Presidential Library and Museum","West Branch , Iowa",""
"","Franklin D . Roosevelt Library and Museum","Hyde Park , New York",""
"","Harry S . Truman Library and Museum","Independence , Missouri",""
"","Dwight D . Eisenhower Presidential Library","Abilene , Kansas",""
"","John F . Kennedy Library and Museum","Boston , Massachusetts",""
"","Lyndon B . Johnson Library and Museum","Austin , Texas",""
"","Richard Nixon Library and Birthplace Foundation","Yorba Linda , California",""
"","Gerald R . Ford Library and Museum","Ann Arbor , Michigan",""
"","Jimmy Carter Library and Museum","Atlanta , Georgia",""
"","Ronald W . Reagan Presidential Library","Simi Valley , California",""
"","George Bush Presidential Library and Museum","College Station , Texas",""

