"Greater Yellowlegs","Tringa melanoleuca",""
"Lesser Yellowlegs","Tringa flavipes",""
"Spotted Redshank","Tringa erythropus",""
"Solitary Sandpiper","Tringa solitaria",""
"Willet","Catoptrophorus semipalmatus",""
"Wandering Tattler","Heteroscelus incanus",""
"Spotted Sandpiper","Actitis macularia",""
"Upland Sandpiper","Bartramia longicauda",""
"Eskimo Curlew","Numenius borealis",""
"Whimbrel","Numenius phaeopus",""
"Long - billed Curlew","Numenius americanus",""
"Hudsonian Godwit","Limosa haemastica",""
"Marbled Godwit","Limosa fedoa",""
"Ruddy Turnstone","Arenaria interpres",""
"Black Turnstone","Arenaria melanocephala",""
"","",""
"Red Knot","Calidris canutus",""
"Sanderling","Calidris alba",""
"Semipalmated Sandpiper","Calidris pusilla",""
"Western Sandpiper","Calidris mauri",""
"Red - necked Stint","Calidris ruficollis",""
"Little Stint","Calidris minuta",""
"Least Sandpiper","Calidris minutilla",""
"White - rumped Sandpiper","Calidris fuscicollis",""
"Baird&apos;s Sandpiper","Calidris bairdii",""
"Pectoral Sandpiper","Calidris melanotos",""
"Sharp - tailed Sandpiper","Calidris acuminata",""
"","",""
"Curlew Sandpiper","Calidris ferruginea",""
"Stilt Sandpiper","Calidris himantopus",""
"Spoonbilleded Sandpiper","Eurynorhynchus pygmaeus",""
"Buff - breasted Sandpiper","Tryngites subruficollis",""
"Ruff","Philomachus pugnax",""
"Short - billed Dowitcher","Limnodromus griseus",""
"Long - billed Dowitcher","Limnodromus scolopaceus",""
"Wilson&apos;s Snipe","Gallinago delicata",""
"American Woodcock","Scolopax minor",""
"Wilson&apos;s Phalarope","Phalaropus tricolor",""
"Red Phalarope","Phalaropus fulicarius",""

