"","","","James Bond Theme","","Monty Norman Orchestra"
"","","","Goldfinger","","Shirley Bassey"
"The Spy Who Loved Me","","","Nobody Does It Better","","Carly Simon"
"","","","A View To A Kill","","Duran Duran"
"","","","For Your Eyes Only","","Sheena Easton"
"O . H . M . S . S .","","","We Have All The Time In The World","","Louis Armstrong"
"","","","Live And Let Die","","Paul McCartney &amp; Wings"
"Octopussy","","","All Time High","","Rita Coolidge"
"","","","The Living Daylights","","a - ha"
"","","","Licence To Kill","","Gladys Knight"
"","","","From Russia With Love","","Matt Monroe"
"","","","Thunderball","","Tom Jones"
"","","","You Only Live Twice","","Nancy Sinatra"
"","","","Moonraker","","Shirley Bassey"
"","","","On Her Majesty&apos;s Secret Service","","The John Barry Orchestra"
"","","","The Man With The Golden Gun","","Lulu"
"","","","Diamonds Are Forever","","Shirley Bassey"
"","","","GoldenEye","","Tina Turner"
"","","","Tomorrow Never Dies","","Sheryl Crow"
"","","","The World Is Not Enough","","Garbage"
"","","","","",""
"","","","","",""

