"Bow Valley College","Calgary","",""
"Grande Prairie Regional College","Grande Prairie","",""
"Grant MacEwan College","Edmonton","",""
"Keyano College","Fort McMurray","",""
"Lakeland College","Vermilion","",""
"Lethbridge Community College","Lethbridge","",""
"Maskwachees Cultural College","Hobbema","",""
"Medicine Hat College","Medicine Hat","",""
"Mount Royal College","Calgary","",""
"NorQuest College","Edmonton","",""
"Northern Alberta Institute of Technology","Edmonton","",""
"Northern Lakes College","Slave Lake","",""
"Olds College","Olds","",""
"Portage College","Lac La Biche","",""
"Red Deer College","Red Deer","",""

