"","","",""
"","","",""
"1999","Vector Prime","R . A . Salvatore",""
"","","",""
"2000","Onslaught","Michael A . Stackpole",""
"2000","Dark Tide II","Michael A . Stackpole",""
"2000","Agents of Chaos I : Hero&apos;s Trial","James Luceno",""
"2000","Agents of Chaos II : Jedi Eclipse","James Luceno",""
"2000","Balance Point","Kathy Tyers",""
"2001","Recovery","",""
"2002","Emissary of the Void","Greg Keyes",""
"2002","Dark Tidings","Greg Keyes",""
"2002","The War on Wayland","Greg Keyes",""
"2002","Relic of Ruin","Greg Keyes",""
"2002","Emissary of the Void V : A Perilous Plan","Greg Keyes",""
"2002","Emissary of the Void","Greg Keyes",""
"2001","Edge of Victory I : Conquest","Greg Keyes",""
"2001","Edge of Victory II : Rebirth","Greg Keyes",""
"2001","Star by Star","Troy Denning",""
"2002","Dark Journey","Elaine Cunningham",""
"2002","The Apprentice","Elaine Cunningham",""
"2002","Enemy Lines I : Rebel Dream","Aaron Allston",""
"2002","Enemy Lines II : Rebel Stand","Aaron Allston",""
"2002","Traitor","Matthew Stover",""
"2002","Destiny&apos;s Way","Walter Jon Williams",""
"2002","Ylesia","Walter Jon Williams",""
"2003","Force Heretic I : Remnant","Sean Williams and Shane Dix",""
"2003","Force Heretic II : Refugee","Sean Williams and Shane Dix",""
"2003","Force Heretic III : Reunion","Sean Williams and Shane Dix",""
"2003","The Final Prophecy","Greg Keyes",""
"2003","The Unifying Force","James Luceno",""

