"Snow White and the Seven Dwarfs","1937"
"Pinocchio","1940"
"Fantasia","1940"
"Dumbo","1941"
"The Reluctant Dragon","1941"
"Bambi","1942"
"Saludos Amigos","1943"
"Victory Through Air Power","1943"
"The Three Caballeros","1945"
"Song of the South","1946"
"",""
"The Adventures of Ichabod and Mr Toad","1949"
"Cinderella","1950"
"",""
"Alice in Wonderland","1951"
"Peter Pan","1953"
"",""
"Lady and the Tramp","1955"
"",""
"Sleeping Beauty","1959"
"",""
"",""
"",""
"",""
"One Hundred and One Dalmatians","1961"
"",""
"",""
"",""
"",""
"",""
"The Sword in the Stone","1963"
"",""
"Mary Poppins","1964"

